sample,dataset,timepoint,engine,sender_bin,receiver_bin,ligand,receptor,prob,pval,n_sender,n_receiver
GSM5613785_2021-03-09-AML3948,GSE185381,Diagnosis,cellchat,HSC_MPP,LMPP_GMP,MIF,CD74_CXCR4,0.0827999034419794,0.06,360,4335
GSM5613785_2021-03-09-AML3948,GSE185381,Diagnosis,cellchat,LMPP_GMP,LMPP_GMP,MIF,CD74_CXCR4,0.0801143910571347,0.65,4335,4335
GSM5613785_2021-03-09-AML3948,GSE185381,Diagnosis,cellchat,Erythroid,LMPP_GMP,MIF,CD74_CXCR4,0.0727761072289427,0.99,113,4335
GSM5613785_2021-03-09-AML3948,GSE185381,Diagnosis,cellchat,HSC_MPP,Mono_DC,MIF,CD74_CXCR4,0.0876129355004072,0,360,984
GSM5613785_2021-03-09-AML3948,GSE185381,Diagnosis,cellchat,LMPP_GMP,Mono_DC,MIF,CD74_CXCR4,0.0847857486610403,0.01,4335,984
GSM5613785_2021-03-09-AML3948,GSE185381,Diagnosis,cellchat,Erythroid,Mono_DC,MIF,CD74_CXCR4,0.0770554221600398,0.74,113,984
GSM5613785_2021-03-09-AML3948,GSE185381,Diagnosis,cellchat,HSC_MPP,T_NK,MIF,CD74_CXCR4,0.110079271769546,0,360,226
GSM5613785_2021-03-09-AML3948,GSE185381,Diagnosis,cellchat,LMPP_GMP,T_NK,MIF,CD74_CXCR4,0.106611829412472,0,4335,226
GSM5613785_2021-03-09-AML3948,GSE185381,Diagnosis,cellchat,Erythroid,T_NK,MIF,CD74_CXCR4,0.0971026480550238,0,113,226
GSM5613785_2021-03-09-AML3948,GSE185381,Diagnosis,cellchat,T_NK,T_NK,MIF,CD74_CXCR4,0.0694138350584313,0.97,226,226
GSM5613785_2021-03-09-AML3948,GSE185381,Diagnosis,cellchat,HSC_MPP,B_Plasma,MIF,CD74_CXCR4,0.24731590698019,0,360,161
GSM5613785_2021-03-09-AML3948,GSE185381,Diagnosis,cellchat,LMPP_GMP,B_Plasma,MIF,CD74_CXCR4,0.240694779635879,0,4335,161
GSM5613785_2021-03-09-AML3948,GSE185381,Diagnosis,cellchat,Mono_DC,B_Plasma,MIF,CD74_CXCR4,0.137377151820751,0,984,161
GSM5613785_2021-03-09-AML3948,GSE185381,Diagnosis,cellchat,Erythroid,B_Plasma,MIF,CD74_CXCR4,0.222200662882476,0,113,161
GSM5613785_2021-03-09-AML3948,GSE185381,Diagnosis,cellchat,T_NK,B_Plasma,MIF,CD74_CXCR4,0.165373750103037,0,226,161
GSM5613785_2021-03-09-AML3948,GSE185381,Diagnosis,cellchat,B_Plasma,B_Plasma,MIF,CD74_CXCR4,0.156797163287354,0,161,161
GSM5613785_2021-03-09-AML3948,GSE185381,Diagnosis,cellchat,HSC_MPP,HSC_MPP,MIF,CD74_CD44,0.22636977085284,0,360,360
GSM5613785_2021-03-09-AML3948,GSE185381,Diagnosis,cellchat,LMPP_GMP,HSC_MPP,MIF,CD74_CD44,0.220145398357775,0,4335,360
GSM5613785_2021-03-09-AML3948,GSE185381,Diagnosis,cellchat,Erythroid,HSC_MPP,MIF,CD74_CD44,0.202808490876439,0.4,113,360
GSM5613785_2021-03-09-AML3948,GSE185381,Diagnosis,cellchat,HSC_MPP,LMPP_GMP,MIF,CD74_CD44,0.221388306451045,0,360,4335
GSM5613785_2021-03-09-AML3948,GSE185381,Diagnosis,cellchat,LMPP_GMP,LMPP_GMP,MIF,CD74_CD44,0.215262794005864,0,4335,4335
GSM5613785_2021-03-09-AML3948,GSE185381,Diagnosis,cellchat,Erythroid,LMPP_GMP,MIF,CD74_CD44,0.1982126709893,0.68,113,4335
GSM5613785_2021-03-09-AML3948,GSE185381,Diagnosis,cellchat,HSC_MPP,Erythroid,MIF,CD74_CD44,0.23994334765661,0,360,113
