gene,stratum,level,n_cells,n_nonzero,mean_lognorm,sum_counts,pct_nonzero,dataset,sample
COL1A1,all,sample,9152,8,0.00103227287306619,14,0.0874,GSE289435,GSM8791432_MLL_14666
COL1A2,all,sample,9152,6,0.000734846411452355,12,0.0656,GSE289435,GSM8791432_MLL_14666
COL3A1,all,sample,9152,1,7.71518787989449e-05,1,0.0109,GSE289435,GSM8791432_MLL_14666
COL4A1,all,sample,9152,6,0.00057461189206834,9,0.0656,GSE289435,GSM8791432_MLL_14666
COL5A1,all,sample,9152,145,0.0147290374933363,160,1.5844,GSE289435,GSM8791432_MLL_14666
COL5A2,all,sample,9152,3,0.000206063738055888,3,0.0328,GSE289435,GSM8791432_MLL_14666
COL6A1,all,sample,9152,689,0.0593554732483197,779,7.5284,GSE289435,GSM8791432_MLL_14666
COL6A2,all,sample,9152,948,0.0840373471585747,1070,10.3584,GSE289435,GSM8791432_MLL_14666
COL6A3,all,sample,9152,1357,0.114233577695924,1502,14.8274,GSE289435,GSM8791432_MLL_14666
COL11A1,all,sample,9152,0,0,0,0,GSE289435,GSM8791432_MLL_14666
FN1,all,sample,9152,776,0.114422215315387,2732,8.479,GSE289435,GSM8791432_MLL_14666
LUM,all,sample,9152,3,0.000727223870013592,24,0.0328,GSE289435,GSM8791432_MLL_14666
DCN,all,sample,9152,17,0.00185015180734364,55,0.1858,GSE289435,GSM8791432_MLL_14666
POSTN,all,sample,9152,0,0,0,0,GSE289435,GSM8791432_MLL_14666
SPARC,all,sample,9152,4776,0.579889046351082,10510,52.1853,GSE289435,GSM8791432_MLL_14666
BGN,all,sample,9152,24,0.00197734491537255,27,0.2622,GSE289435,GSM8791432_MLL_14666
VCAN,all,sample,9152,3586,0.615793838474812,17336,39.1827,GSE289435,GSM8791432_MLL_14666
ELN,all,sample,9152,37,0.00282714626552336,38,0.4043,GSE289435,GSM8791432_MLL_14666
FBN1,all,sample,9152,21,0.00190608650095048,28,0.2295,GSE289435,GSM8791432_MLL_14666
MGP,all,sample,9152,11,0.00205808603458478,86,0.1202,GSE289435,GSM8791432_MLL_14666
OGN,all,sample,9152,5,0.000389265202245277,5,0.0546,GSE289435,GSM8791432_MLL_14666
ASPN,all,sample,9152,0,0,0,0,GSE289435,GSM8791432_MLL_14666
TNC,all,sample,9152,4,0.000392205857438504,6,0.0437,GSE289435,GSM8791432_MLL_14666
LTBP1,all,sample,9152,23,0.00164499341599207,23,0.2513,GSE289435,GSM8791432_MLL_14666
LTBP2,all,sample,9152,11,0.000973974160206055,14,0.1202,GSE289435,GSM8791432_MLL_14666
LOX,all,sample,9152,7,0.000681116918360667,8,0.0765,GSE289435,GSM8791432_MLL_14666
LOXL1,all,sample,9152,182,0.014784936910645,198,1.9886,GSE289435,GSM8791432_MLL_14666
LOXL2,all,sample,9152,15,0.00118881986914127,15,0.1639,GSE289435,GSM8791432_MLL_14666
PLOD1,all,sample,9152,682,0.0509599917219819,743,7.4519,GSE289435,GSM8791432_MLL_14666
PLOD2,all,sample,9152,22,0.00172022979613695,29,0.2404,GSE289435,GSM8791432_MLL_14666
SERPINH1,all,sample,9152,396,0.028699953347315,432,4.3269,GSE289435,GSM8791432_MLL_14666
SERPINE1,all,sample,9152,220,0.0187910614481886,263,2.4038,GSE289435,GSM8791432_MLL_14666
TIMP1,all,sample,9152,6822,1.18214004260435,34389,74.5411,GSE289435,GSM8791432_MLL_14666
TIMP2,all,sample,9152,1145,0.0964016868612608,1344,12.5109,GSE289435,GSM8791432_MLL_14666
TIMP3,all,sample,9152,364,0.0370535336476573,613,3.9773,GSE289435,GSM8791432_MLL_14666
MMP2,all,sample,9152,32,0.00289450838299521,37,0.3497,GSE289435,GSM8791432_MLL_14666
MMP9,all,sample,9152,124,0.0103916938314011,181,1.3549,GSE289435,GSM8791432_MLL_14666
MMP14,all,sample,9152,386,0.0310018488937399,409,4.2177,GSE289435,GSM8791432_MLL_14666
CTSK,all,sample,9152,27,0.0021479497216138,28,0.295,GSE289435,GSM8791432_MLL_14666
ADAMTS1,all,sample,9152,8,0.00117768692487225,32,0.0874,GSE289435,GSM8791432_MLL_14666
TGFB1,all,sample,9152,4357,0.448029102586392,6730,47.6071,GSE289435,GSM8791432_MLL_14666
TGFB2,all,sample,9152,61,0.00466293602417267,62,0.6665,GSE289435,GSM8791432_MLL_14666
TGFB3,all,sample,9152,19,0.00167096721526773,19,0.2076,GSE289435,GSM8791432_MLL_14666
TGFBR1,all,sample,9152,230,0.0197121548208561,234,2.5131,GSE289435,GSM8791432_MLL_14666
TGFBR2,all,sample,9152,2395,0.240873262254041,3212,26.1691,GSE289435,GSM8791432_MLL_14666
PDGFA,all,sample,9152,394,0.0345246444518844,460,4.3051,GSE289435,GSM8791432_MLL_14666
PDGFB,all,sample,9152,17,0.0014092258374436,17,0.1858,GSE289435,GSM8791432_MLL_14666
PDGFRA,all,sample,9152,7,0.000616687086659728,8,0.0765,GSE289435,GSM8791432_MLL_14666
PDGFRB,all,sample,9152,50,0.00388483688746941,51,0.5463,GSE289435,GSM8791432_MLL_14666
CCN2,all,sample,9152,11,0.00135925806001747,32,0.1202,GSE289435,GSM8791432_MLL_14666
CCN1,all,sample,9152,267,0.0250128446905029,362,2.9174,GSE289435,GSM8791432_MLL_14666
IGF1,all,sample,9152,3,0.000438480685621832,4,0.0328,GSE289435,GSM8791432_MLL_14666
IGF2,all,sample,9152,14,0.00176988364125578,33,0.153,GSE289435,GSM8791432_MLL_14666
VEGFA,all,sample,9152,879,0.0754573464804791,1085,9.6045,GSE289435,GSM8791432_MLL_14666
FGF2,all,sample,9152,4,0.000186395330473751,4,0.0437,GSE289435,GSM8791432_MLL_14666
HGF,all,sample,9152,1903,0.176406374835116,2530,20.7933,GSE289435,GSM8791432_MLL_14666
OSM,all,sample,9152,1032,0.0967002774284281,1615,11.2762,GSE289435,GSM8791432_MLL_14666
OSMR,all,sample,9152,8,0.00103335703609338,18,0.0874,GSE289435,GSM8791432_MLL_14666
IL11,all,sample,9152,101,0.00741705285810009,118,1.1036,GSE289435,GSM8791432_MLL_14666
SPP1,all,sample,9152,40,0.00382447712248336,91,0.4371,GSE289435,GSM8791432_MLL_14666
IL1B,all,sample,9152,1254,0.168657650074411,4154,13.7019,GSE289435,GSM8791432_MLL_14666
IL6,all,sample,9152,24,0.00216184879534928,32,0.2622,GSE289435,GSM8791432_MLL_14666
TNF,all,sample,9152,370,0.0427031508873204,749,4.0428,GSE289435,GSM8791432_MLL_14666
CXCL8,all,sample,9152,2851,0.511579585733343,21896,31.1517,GSE289435,GSM8791432_MLL_14666
IL10,all,sample,9152,84,0.00721829482908539,96,0.9178,GSE289435,GSM8791432_MLL_14666
IFNG,all,sample,9152,20,0.00405773177158093,42,0.2185,GSE289435,GSM8791432_MLL_14666
CCL2,all,sample,9152,71,0.00807531934215309,319,0.7758,GSE289435,GSM8791432_MLL_14666
CCL3,all,sample,9152,1913,0.271816804825412,7877,20.9025,GSE289435,GSM8791432_MLL_14666
CCL4,all,sample,9152,433,0.0771386836720182,2638,4.7312,GSE289435,GSM8791432_MLL_14666
CXCL1,all,sample,9152,83,0.00750522378082165,141,0.9069,GSE289435,GSM8791432_MLL_14666
CXCL2,all,sample,9152,1304,0.211183529860718,7260,14.2483,GSE289435,GSM8791432_MLL_14666
IL18,all,sample,9152,2284,0.210246150154895,3098,24.9563,GSE289435,GSM8791432_MLL_14666
NLRP3,all,sample,9152,1055,0.08821470155546,1267,11.5275,GSE289435,GSM8791432_MLL_14666
S100A8,all,sample,9152,4779,1.42923856675127,235808,52.2181,GSE289435,GSM8791432_MLL_14666
S100A9,all,sample,9152,5465,1.72924040784615,328772,59.7137,GSE289435,GSM8791432_MLL_14666
PF4,all,sample,9152,10,0.000752245709534224,10,0.1093,GSE289435,GSM8791432_MLL_14666
PPBP,all,sample,9152,18,0.00179768773078605,21,0.1967,GSE289435,GSM8791432_MLL_14666
VWF,all,sample,9152,3,0.000188427535723339,3,0.0328,GSE289435,GSM8791432_MLL_14666
ITGA2B,all,sample,9152,25,0.00206922639105955,28,0.2732,GSE289435,GSM8791432_MLL_14666
GP9,all,sample,9152,53,0.00364274999462116,54,0.5791,GSE289435,GSM8791432_MLL_14666
NFE2,all,sample,9152,873,0.0712271066413203,954,9.5389,GSE289435,GSM8791432_MLL_14666
GATA1,all,sample,9152,4,0.000493889892397367,6,0.0437,GSE289435,GSM8791432_MLL_14666
MPL,all,sample,9152,82,0.00703112296041871,86,0.896,GSE289435,GSM8791432_MLL_14666
CALR,all,sample,9152,7742,1.54529247270559,55898,84.5935,GSE289435,GSM8791432_MLL_14666
JAK2,all,sample,9152,967,0.084123250516061,1030,10.566,GSE289435,GSM8791432_MLL_14666
LEPR,all,sample,9152,112,0.00876816353100192,154,1.2238,GSE289435,GSM8791432_MLL_14666
CXCL12,all,sample,9152,115,0.0129104457507067,857,1.2566,GSE289435,GSM8791432_MLL_14666
KITLG,all,sample,9152,15,0.00117470678608211,16,0.1639,GSE289435,GSM8791432_MLL_14666
ANGPT1,all,sample,9152,23,0.00171790659847424,25,0.2513,GSE289435,GSM8791432_MLL_14666
VCAM1,all,sample,9152,25,0.00453140435093776,59,0.2732,GSE289435,GSM8791432_MLL_14666
NES,all,sample,9152,7,0.000501010916421139,7,0.0765,GSE289435,GSM8791432_MLL_14666
NGFR,all,sample,9152,136,0.0115670531223933,154,1.486,GSE289435,GSM8791432_MLL_14666
SFRP2,all,sample,9152,25,0.00140820629661512,26,0.2732,GSE289435,GSM8791432_MLL_14666
SFRP4,all,sample,9152,8,0.00082991547792996,10,0.0874,GSE289435,GSM8791432_MLL_14666
GREM1,all,sample,9152,80,0.00680680061935087,84,0.8741,GSE289435,GSM8791432_MLL_14666
FAP,all,sample,9152,0,0,0,0,GSE289435,GSM8791432_MLL_14666
BGLAP,all,sample,9152,1230,0.149659648143328,2580,13.4397,GSE289435,GSM8791432_MLL_14666
RUNX2,all,sample,9152,2787,0.285011122936166,3713,30.4524,GSE289435,GSM8791432_MLL_14666
SP7,all,sample,9152,6,0.000462031760892624,6,0.0656,GSE289435,GSM8791432_MLL_14666
ACTA2,all,sample,9152,40,0.00297631456651569,41,0.4371,GSE289435,GSM8791432_MLL_14666
TAGLN,all,sample,9152,124,0.0108207634116031,136,1.3549,GSE289435,GSM8791432_MLL_14666
RGS5,all,sample,9152,6,0.000371343707365386,6,0.0656,GSE289435,GSM8791432_MLL_14666
MYH11,all,sample,9152,46,0.00348341490598417,47,0.5026,GSE289435,GSM8791432_MLL_14666
CDH5,all,sample,9152,4,0.000250253616003358,4,0.0437,GSE289435,GSM8791432_MLL_14666
PECAM1,all,sample,9152,2123,0.205534681849514,3415,23.1971,GSE289435,GSM8791432_MLL_14666
EMCN,all,sample,9152,1,0.000145879533925582,2,0.0109,GSE289435,GSM8791432_MLL_14666
HIF1A,all,sample,9152,7516,1.29162650548011,31446,82.1241,GSE289435,GSM8791432_MLL_14666
EPAS1,all,sample,9152,79,0.0064874254568391,115,0.8632,GSE289435,GSM8791432_MLL_14666
CA9,all,sample,9152,21,0.00139148300450176,22,0.2295,GSE289435,GSM8791432_MLL_14666
LDHA,all,sample,9152,7202,1.19346341824521,31768,78.6932,GSE289435,GSM8791432_MLL_14666
SLC2A1,all,sample,9152,1095,0.10022596073892,1249,11.9646,GSE289435,GSM8791432_MLL_14666
PGK1,all,sample,9152,5455,0.691579999719089,14369,59.6045,GSE289435,GSM8791432_MLL_14666
ADM,all,sample,9152,3170,0.377692159914463,7319,34.6372,GSE289435,GSM8791432_MLL_14666
BNIP3,all,sample,9152,719,0.05597331363916,810,7.8562,GSE289435,GSM8791432_MLL_14666
NDRG1,all,sample,9152,1420,0.126933069601097,1633,15.5157,GSE289435,GSM8791432_MLL_14666
SNAI1,all,sample,9152,1026,0.0872659076271193,1272,11.2107,GSE289435,GSM8791432_MLL_14666
SNAI2,all,sample,9152,6,0.000647514670233117,12,0.0656,GSE289435,GSM8791432_MLL_14666
TWIST1,all,sample,9152,7,0.0005756713038259,8,0.0765,GSE289435,GSM8791432_MLL_14666
ZEB1,all,sample,9152,176,0.0197164851810777,192,1.9231,GSE289435,GSM8791432_MLL_14666
ZEB2,all,sample,9152,5894,0.735821222236989,12291,64.4012,GSE289435,GSM8791432_MLL_14666
VIM,all,sample,9152,9090,3.71052017564707,435347,99.3226,GSE289435,GSM8791432_MLL_14666
CDH2,all,sample,9152,1,9.56217813547719e-05,1,0.0109,GSE289435,GSM8791432_MLL_14666
NECTIN4,all,sample,9152,302,0.0226962353528193,343,3.2998,GSE289435,GSM8791432_MLL_14666
NECTIN1,all,sample,9152,112,0.0101685370197045,118,1.2238,GSE289435,GSM8791432_MLL_14666
NECTIN2,all,sample,9152,2767,0.264663759274371,3810,30.2338,GSE289435,GSM8791432_MLL_14666
NECTIN3,all,sample,9152,2,0.000113103984955986,2,0.0219,GSE289435,GSM8791432_MLL_14666
PVR,all,sample,9152,33,0.00210453292760717,33,0.3606,GSE289435,GSM8791432_MLL_14666
TIGIT,all,sample,9152,28,0.00477099073556477,35,0.3059,GSE289435,GSM8791432_MLL_14666
CD226,all,sample,9152,13,0.000993852738644702,13,0.142,GSE289435,GSM8791432_MLL_14666
CD96,all,sample,9152,62,0.00960214711185653,73,0.6774,GSE289435,GSM8791432_MLL_14666
C1QA,all,sample,9152,903,0.132286624259781,3631,9.8667,GSE289435,GSM8791432_MLL_14666
C1QB,all,sample,9152,129,0.0228548439170764,577,1.4095,GSE289435,GSM8791432_MLL_14666
C1QC,all,sample,9152,133,0.0219872145940889,547,1.4532,GSE289435,GSM8791432_MLL_14666
CD163,all,sample,9152,466,0.044848449683514,675,5.0918,GSE289435,GSM8791432_MLL_14666
MRC1,all,sample,9152,111,0.00909922207393419,126,1.2128,GSE289435,GSM8791432_MLL_14666
VSIG4,all,sample,9152,2873,0.34259235993984,6790,31.392,GSE289435,GSM8791432_MLL_14666
SELENOP,all,sample,9152,15,0.00208862914563291,40,0.1639,GSE289435,GSM8791432_MLL_14666
STAB1,all,sample,9152,662,0.0599313395442055,832,7.2334,GSE289435,GSM8791432_MLL_14666
LYVE1,all,sample,9152,5,0.000518796948882527,5,0.0546,GSE289435,GSM8791432_MLL_14666
MAF,all,sample,9152,122,0.0100739888121577,131,1.333,GSE289435,GSM8791432_MLL_14666
FCN1,all,sample,9152,3636,0.9795482187389,59391,39.729,GSE289435,GSM8791432_MLL_14666
S100A12,all,sample,9152,2234,0.332927047133776,11474,24.41,GSE289435,GSM8791432_MLL_14666
SELL,all,sample,9152,4803,0.571739797183071,9974,52.4803,GSE289435,GSM8791432_MLL_14666
CSF3R,all,sample,9152,6149,0.875882634176674,17613,67.1875,GSE289435,GSM8791432_MLL_14666
PLAC8,all,sample,9152,7370,1.24916959855368,34961,80.5288,GSE289435,GSM8791432_MLL_14666
COL1A1,LMPP_GMP,bin,2126,1,0.000182859575393053,1,0.047,GSE289435,GSM8791432_MLL_14666
COL1A2,LMPP_GMP,bin,2126,0,0,0,0,GSE289435,GSM8791432_MLL_14666
COL3A1,LMPP_GMP,bin,2126,0,0,0,0,GSE289435,GSM8791432_MLL_14666
COL4A1,LMPP_GMP,bin,2126,0,0,0,0,GSE289435,GSM8791432_MLL_14666
COL5A1,LMPP_GMP,bin,2126,43,0.0156434701495981,46,2.0226,GSE289435,GSM8791432_MLL_14666
COL5A2,LMPP_GMP,bin,2126,0,0,0,0,GSE289435,GSM8791432_MLL_14666
COL6A1,LMPP_GMP,bin,2126,230,0.085561571129097,254,10.8184,GSE289435,GSM8791432_MLL_14666
COL6A2,LMPP_GMP,bin,2126,331,0.121561420731872,365,15.5691,GSE289435,GSM8791432_MLL_14666
COL6A3,LMPP_GMP,bin,2126,337,0.115274856165839,369,15.8514,GSE289435,GSM8791432_MLL_14666
COL11A1,LMPP_GMP,bin,2126,0,0,0,0,GSE289435,GSM8791432_MLL_14666
FN1,LMPP_GMP,bin,2126,12,0.00374662487214696,12,0.5644,GSE289435,GSM8791432_MLL_14666
LUM,LMPP_GMP,bin,2126,0,0,0,0,GSE289435,GSM8791432_MLL_14666
DCN,LMPP_GMP,bin,2126,1,0.00022022727176281,1,0.047,GSE289435,GSM8791432_MLL_14666
POSTN,LMPP_GMP,bin,2126,0,0,0,0,GSE289435,GSM8791432_MLL_14666
SPARC,LMPP_GMP,bin,2126,1617,0.899737364226389,3918,76.0583,GSE289435,GSM8791432_MLL_14666
BGN,LMPP_GMP,bin,2126,9,0.00335246248771087,10,0.4233,GSE289435,GSM8791432_MLL_14666
VCAN,LMPP_GMP,bin,2126,135,0.055470113966245,261,6.35,GSE289435,GSM8791432_MLL_14666
ELN,LMPP_GMP,bin,2126,14,0.00506194842922003,15,0.6585,GSE289435,GSM8791432_MLL_14666
FBN1,LMPP_GMP,bin,2126,4,0.00199761193817094,6,0.1881,GSE289435,GSM8791432_MLL_14666
MGP,LMPP_GMP,bin,2126,0,0,0,0,GSE289435,GSM8791432_MLL_14666
OGN,LMPP_GMP,bin,2126,2,0.000698221445223058,2,0.0941,GSE289435,GSM8791432_MLL_14666
ASPN,LMPP_GMP,bin,2126,0,0,0,0,GSE289435,GSM8791432_MLL_14666
TNC,LMPP_GMP,bin,2126,0,0,0,0,GSE289435,GSM8791432_MLL_14666
LTBP1,LMPP_GMP,bin,2126,1,0.000253582114433398,1,0.047,GSE289435,GSM8791432_MLL_14666
LTBP2,LMPP_GMP,bin,2126,0,0,0,0,GSE289435,GSM8791432_MLL_14666
LOX,LMPP_GMP,bin,2126,2,0.000720372140917445,2,0.0941,GSE289435,GSM8791432_MLL_14666
LOXL1,LMPP_GMP,bin,2126,21,0.00692669845548111,22,0.9878,GSE289435,GSM8791432_MLL_14666
LOXL2,LMPP_GMP,bin,2126,3,0.000800278171489435,3,0.1411,GSE289435,GSM8791432_MLL_14666
PLOD1,LMPP_GMP,bin,2126,116,0.0343961944868762,122,5.4563,GSE289435,GSM8791432_MLL_14666
PLOD2,LMPP_GMP,bin,2126,2,0.000507580955572723,2,0.0941,GSE289435,GSM8791432_MLL_14666
SERPINH1,LMPP_GMP,bin,2126,132,0.0434932997381084,148,6.2088,GSE289435,GSM8791432_MLL_14666
SERPINE1,LMPP_GMP,bin,2126,18,0.00588710429392738,19,0.8467,GSE289435,GSM8791432_MLL_14666
TIMP1,LMPP_GMP,bin,2126,1650,0.946610928112329,4260,77.6105,GSE289435,GSM8791432_MLL_14666
TIMP2,LMPP_GMP,bin,2126,128,0.0438148109137421,135,6.0207,GSE289435,GSM8791432_MLL_14666
TIMP3,LMPP_GMP,bin,2126,84,0.0350372123533518,130,3.9511,GSE289435,GSM8791432_MLL_14666
MMP2,LMPP_GMP,bin,2126,12,0.0048262324021299,14,0.5644,GSE289435,GSM8791432_MLL_14666
MMP9,LMPP_GMP,bin,2126,0,0,0,0,GSE289435,GSM8791432_MLL_14666
MMP14,LMPP_GMP,bin,2126,83,0.0292128538873457,87,3.904,GSE289435,GSM8791432_MLL_14666
CTSK,LMPP_GMP,bin,2126,2,0.000673775977116432,2,0.0941,GSE289435,GSM8791432_MLL_14666
ADAMTS1,LMPP_GMP,bin,2126,1,0.000298421889358914,1,0.047,GSE289435,GSM8791432_MLL_14666
TGFB1,LMPP_GMP,bin,2126,1045,0.444893080024009,1603,49.1533,GSE289435,GSM8791432_MLL_14666
TGFB2,LMPP_GMP,bin,2126,9,0.00302324118510222,9,0.4233,GSE289435,GSM8791432_MLL_14666
TGFB3,LMPP_GMP,bin,2126,8,0.00282642489462841,8,0.3763,GSE289435,GSM8791432_MLL_14666
TGFBR1,LMPP_GMP,bin,2126,53,0.018785697994014,54,2.4929,GSE289435,GSM8791432_MLL_14666
TGFBR2,LMPP_GMP,bin,2126,470,0.171614234298426,606,22.1072,GSE289435,GSM8791432_MLL_14666
PDGFA,LMPP_GMP,bin,2126,74,0.0268702015578843,76,3.4807,GSE289435,GSM8791432_MLL_14666
PDGFB,LMPP_GMP,bin,2126,1,0.000234990794546242,1,0.047,GSE289435,GSM8791432_MLL_14666
PDGFRA,LMPP_GMP,bin,2126,0,0,0,0,GSE289435,GSM8791432_MLL_14666
PDGFRB,LMPP_GMP,bin,2126,20,0.00627052247757172,20,0.9407,GSE289435,GSM8791432_MLL_14666
CCN2,LMPP_GMP,bin,2126,1,0.000331294375422314,1,0.047,GSE289435,GSM8791432_MLL_14666
CCN1,LMPP_GMP,bin,2126,60,0.0204139421214912,73,2.8222,GSE289435,GSM8791432_MLL_14666
IGF1,LMPP_GMP,bin,2126,0,0,0,0,GSE289435,GSM8791432_MLL_14666
IGF2,LMPP_GMP,bin,2126,3,0.0011708372062112,3,0.1411,GSE289435,GSM8791432_MLL_14666
VEGFA,LMPP_GMP,bin,2126,69,0.0233082376164172,71,3.2455,GSE289435,GSM8791432_MLL_14666
FGF2,LMPP_GMP,bin,2126,0,0,0,0,GSE289435,GSM8791432_MLL_14666
HGF,LMPP_GMP,bin,2126,772,0.322517645810492,1130,36.3123,GSE289435,GSM8791432_MLL_14666
OSM,LMPP_GMP,bin,2126,145,0.0500145659961153,165,6.8203,GSE289435,GSM8791432_MLL_14666
OSMR,LMPP_GMP,bin,2126,2,0.000734162940503479,2,0.0941,GSE289435,GSM8791432_MLL_14666
IL11,LMPP_GMP,bin,2126,6,0.00147933668765996,6,0.2822,GSE289435,GSM8791432_MLL_14666
SPP1,LMPP_GMP,bin,2126,2,0.000744952872799954,2,0.0941,GSE289435,GSM8791432_MLL_14666
IL1B,LMPP_GMP,bin,2126,212,0.0853790472748245,280,9.9718,GSE289435,GSM8791432_MLL_14666
IL6,LMPP_GMP,bin,2126,0,0,0,0,GSE289435,GSM8791432_MLL_14666
TNF,LMPP_GMP,bin,2126,28,0.00840464693971685,34,1.317,GSE289435,GSM8791432_MLL_14666
CXCL8,LMPP_GMP,bin,2126,379,0.188090584759283,937,17.8269,GSE289435,GSM8791432_MLL_14666
IL10,LMPP_GMP,bin,2126,2,0.000508619635803675,2,0.0941,GSE289435,GSM8791432_MLL_14666
IFNG,LMPP_GMP,bin,2126,1,0.000426044843436108,1,0.047,GSE289435,GSM8791432_MLL_14666
CCL2,LMPP_GMP,bin,2126,2,0.000592563362713773,2,0.0941,GSE289435,GSM8791432_MLL_14666
CCL3,LMPP_GMP,bin,2126,272,0.135989872089471,748,12.794,GSE289435,GSM8791432_MLL_14666
CCL4,LMPP_GMP,bin,2126,41,0.0186272711733577,88,1.9285,GSE289435,GSM8791432_MLL_14666
CXCL1,LMPP_GMP,bin,2126,2,0.000435950915173603,2,0.0941,GSE289435,GSM8791432_MLL_14666
CXCL2,LMPP_GMP,bin,2126,98,0.0384936111639833,144,4.6096,GSE289435,GSM8791432_MLL_14666
IL18,LMPP_GMP,bin,2126,581,0.223212019244168,734,27.3283,GSE289435,GSM8791432_MLL_14666
NLRP3,LMPP_GMP,bin,2126,129,0.0432097032072393,143,6.0677,GSE289435,GSM8791432_MLL_14666
S100A8,LMPP_GMP,bin,2126,527,0.260959107868593,1516,24.7883,GSE289435,GSM8791432_MLL_14666
S100A9,LMPP_GMP,bin,2126,769,0.406385054443474,2767,36.1712,GSE289435,GSM8791432_MLL_14666
PF4,LMPP_GMP,bin,2126,0,0,0,0,GSE289435,GSM8791432_MLL_14666
PPBP,LMPP_GMP,bin,2126,1,0.000320103487067919,1,0.047,GSE289435,GSM8791432_MLL_14666
VWF,LMPP_GMP,bin,2126,1,0.000188127291643967,1,0.047,GSE289435,GSM8791432_MLL_14666
ITGA2B,LMPP_GMP,bin,2126,6,0.00219250487593679,7,0.2822,GSE289435,GSM8791432_MLL_14666
GP9,LMPP_GMP,bin,2126,22,0.00682401792802249,22,1.0348,GSE289435,GSM8791432_MLL_14666
NFE2,LMPP_GMP,bin,2126,263,0.0963649412546898,286,12.3706,GSE289435,GSM8791432_MLL_14666
GATA1,LMPP_GMP,bin,2126,1,0.000702365850388578,3,0.047,GSE289435,GSM8791432_MLL_14666
MPL,LMPP_GMP,bin,2126,45,0.0160221281771715,48,2.1167,GSE289435,GSM8791432_MLL_14666
CALR,LMPP_GMP,bin,2126,2012,1.90390277842471,18412,94.6378,GSE289435,GSM8791432_MLL_14666
JAK2,LMPP_GMP,bin,2126,233,0.0824949723051939,247,10.9595,GSE289435,GSM8791432_MLL_14666
LEPR,LMPP_GMP,bin,2126,25,0.00672250044229098,25,1.1759,GSE289435,GSM8791432_MLL_14666
CXCL12,LMPP_GMP,bin,2126,15,0.00499796446948717,15,0.7056,GSE289435,GSM8791432_MLL_14666
KITLG,LMPP_GMP,bin,2126,1,0.000223662261235008,1,0.047,GSE289435,GSM8791432_MLL_14666
ANGPT1,LMPP_GMP,bin,2126,6,0.00179592928127085,6,0.2822,GSE289435,GSM8791432_MLL_14666
VCAM1,LMPP_GMP,bin,2126,2,0.000679150969986178,2,0.0941,GSE289435,GSM8791432_MLL_14666
NES,LMPP_GMP,bin,2126,1,0.000212961094653202,1,0.047,GSE289435,GSM8791432_MLL_14666
NGFR,LMPP_GMP,bin,2126,39,0.0135394285441659,44,1.8344,GSE289435,GSM8791432_MLL_14666
SFRP2,LMPP_GMP,bin,2126,4,0.00100682333411028,4,0.1881,GSE289435,GSM8791432_MLL_14666
SFRP4,LMPP_GMP,bin,2126,1,0.000149976331847144,1,0.047,GSE289435,GSM8791432_MLL_14666
GREM1,LMPP_GMP,bin,2126,35,0.0109421830530607,36,1.6463,GSE289435,GSM8791432_MLL_14666
FAP,LMPP_GMP,bin,2126,0,0,0,0,GSE289435,GSM8791432_MLL_14666
BGLAP,LMPP_GMP,bin,2126,387,0.172538129816935,623,18.2032,GSE289435,GSM8791432_MLL_14666
RUNX2,LMPP_GMP,bin,2126,778,0.316476284198582,1051,36.5945,GSE289435,GSM8791432_MLL_14666
SP7,LMPP_GMP,bin,2126,1,0.000240627190572585,1,0.047,GSE289435,GSM8791432_MLL_14666
ACTA2,LMPP_GMP,bin,2126,8,0.00254652007630446,8,0.3763,GSE289435,GSM8791432_MLL_14666
TAGLN,LMPP_GMP,bin,2126,15,0.00532090582478148,15,0.7056,GSE289435,GSM8791432_MLL_14666
RGS5,LMPP_GMP,bin,2126,0,0,0,0,GSE289435,GSM8791432_MLL_14666
MYH11,LMPP_GMP,bin,2126,10,0.00414742106126774,11,0.4704,GSE289435,GSM8791432_MLL_14666
CDH5,LMPP_GMP,bin,2126,0,0,0,0,GSE289435,GSM8791432_MLL_14666
PECAM1,LMPP_GMP,bin,2126,189,0.0614207130378726,219,8.8899,GSE289435,GSM8791432_MLL_14666
EMCN,LMPP_GMP,bin,2126,0,0,0,0,GSE289435,GSM8791432_MLL_14666
HIF1A,LMPP_GMP,bin,2126,1798,1.12565792988237,5168,84.572,GSE289435,GSM8791432_MLL_14666
EPAS1,LMPP_GMP,bin,2126,1,0.000477838250724172,1,0.047,GSE289435,GSM8791432_MLL_14666
CA9,LMPP_GMP,bin,2126,5,0.00123139928860889,6,0.2352,GSE289435,GSM8791432_MLL_14666
LDHA,LMPP_GMP,bin,2126,1741,1.18382565579429,7546,81.8909,GSE289435,GSM8791432_MLL_14666
SLC2A1,LMPP_GMP,bin,2126,208,0.072908692539468,226,9.7836,GSE289435,GSM8791432_MLL_14666
PGK1,LMPP_GMP,bin,2126,1276,0.634510832974812,2943,60.0188,GSE289435,GSM8791432_MLL_14666
ADM,LMPP_GMP,bin,2126,342,0.140815123328631,544,16.0865,GSE289435,GSM8791432_MLL_14666
BNIP3,LMPP_GMP,bin,2126,234,0.0764148654238519,268,11.0066,GSE289435,GSM8791432_MLL_14666
NDRG1,LMPP_GMP,bin,2126,285,0.101347760057185,314,13.4055,GSE289435,GSM8791432_MLL_14666
