gene,stratum,level,n_cells,n_nonzero,mean_lognorm,sum_counts,pct_nonzero,dataset,sample
COL1A1,all,sample,4202,3,0.000346409528835511,3,0.0714,GSE227903,5750_Dg
COL1A2,all,sample,4202,0,0,0,0,GSE227903,5750_Dg
COL3A1,all,sample,4202,0,0,0,0,GSE227903,5750_Dg
COL4A1,all,sample,4202,1,8.29578266536946e-05,1,0.0238,GSE227903,5750_Dg
COL5A1,all,sample,4202,4,0.000484605907461796,4,0.0952,GSE227903,5750_Dg
COL5A2,all,sample,4202,10,0.00143723441990051,12,0.238,GSE227903,5750_Dg
COL6A1,all,sample,4202,28,0.00359056551318133,30,0.6663,GSE227903,5750_Dg
COL6A2,all,sample,4202,110,0.0156856598378217,143,2.6178,GSE227903,5750_Dg
COL6A3,all,sample,4202,57,0.00739664286965085,57,1.3565,GSE227903,5750_Dg
COL11A1,all,sample,4202,0,0,0,0,GSE227903,5750_Dg
FN1,all,sample,4202,48,0.00652678005670305,52,1.1423,GSE227903,5750_Dg
LUM,all,sample,4202,3,0.000351373152103057,3,0.0714,GSE227903,5750_Dg
DCN,all,sample,4202,99,0.0132121920811217,123,2.356,GSE227903,5750_Dg
POSTN,all,sample,4202,0,0,0,0,GSE227903,5750_Dg
SPARC,all,sample,4202,403,0.0557880729736147,536,9.5907,GSE227903,5750_Dg
BGN,all,sample,4202,2,0.000132723566595166,2,0.0476,GSE227903,5750_Dg
VCAN,all,sample,4202,108,0.030198583889454,413,2.5702,GSE227903,5750_Dg
ELN,all,sample,4202,34,0.00401220053767187,36,0.8091,GSE227903,5750_Dg
FBN1,all,sample,4202,56,0.00774089348776597,63,1.3327,GSE227903,5750_Dg
MGP,all,sample,4202,89,0.013418681422997,102,2.118,GSE227903,5750_Dg
OGN,all,sample,4202,48,0.0058804915623448,49,1.1423,GSE227903,5750_Dg
ASPN,all,sample,4202,26,0.00286646942656962,26,0.6188,GSE227903,5750_Dg
TNC,all,sample,4202,5,0.000709167412141583,5,0.119,GSE227903,5750_Dg
LTBP1,all,sample,4202,17,0.00284018495774725,20,0.4046,GSE227903,5750_Dg
LTBP2,all,sample,4202,11,0.00137477683934813,12,0.2618,GSE227903,5750_Dg
LOX,all,sample,4202,10,0.00134562538396596,10,0.238,GSE227903,5750_Dg
LOXL1,all,sample,4202,8,0.00111182254444894,8,0.1904,GSE227903,5750_Dg
LOXL2,all,sample,4202,7,0.000872819717006974,7,0.1666,GSE227903,5750_Dg
PLOD1,all,sample,4202,200,0.024587147247011,216,4.7596,GSE227903,5750_Dg
PLOD2,all,sample,4202,0,0,0,0,GSE227903,5750_Dg
SERPINH1,all,sample,4202,45,0.00594038112985401,49,1.0709,GSE227903,5750_Dg
SERPINE1,all,sample,4202,1692,0.397599749386525,5394,40.2665,GSE227903,5750_Dg
TIMP1,all,sample,4202,1801,0.362312633451405,3939,42.8605,GSE227903,5750_Dg
TIMP2,all,sample,4202,1653,0.283776167570079,2595,39.3384,GSE227903,5750_Dg
TIMP3,all,sample,4202,36,0.00561620106217901,40,0.8567,GSE227903,5750_Dg
MMP2,all,sample,4202,96,0.0119793438899638,102,2.2846,GSE227903,5750_Dg
MMP9,all,sample,4202,39,0.00620298353507716,59,0.9281,GSE227903,5750_Dg
MMP14,all,sample,4202,34,0.00470496546378541,39,0.8091,GSE227903,5750_Dg
CTSK,all,sample,4202,95,0.0127160937096674,103,2.2608,GSE227903,5750_Dg
ADAMTS1,all,sample,4202,5,0.00103118560647816,5,0.119,GSE227903,5750_Dg
TGFB1,all,sample,4202,3563,0.937606672488664,11222,84.793,GSE227903,5750_Dg
TGFB2,all,sample,4202,25,0.00334594750321984,26,0.595,GSE227903,5750_Dg
TGFB3,all,sample,4202,31,0.00371499463350802,31,0.7377,GSE227903,5750_Dg
TGFBR1,all,sample,4202,1622,0.270818736169914,2427,38.6007,GSE227903,5750_Dg
TGFBR2,all,sample,4202,1513,0.24182231904862,2121,36.0067,GSE227903,5750_Dg
PDGFA,all,sample,4202,960,0.196686144616568,2372,22.8463,GSE227903,5750_Dg
PDGFB,all,sample,4202,29,0.00607466762735511,48,0.6901,GSE227903,5750_Dg
PDGFRA,all,sample,4202,3,0.000389248087631652,4,0.0714,GSE227903,5750_Dg
PDGFRB,all,sample,4202,5,0.00127826512776142,6,0.119,GSE227903,5750_Dg
CCN2,all,sample,4202,0,0,0,0,GSE227903,5750_Dg
CCN1,all,sample,4202,28,0.0042379931841875,35,0.6663,GSE227903,5750_Dg
IGF1,all,sample,4202,1,0.000111861288027811,2,0.0238,GSE227903,5750_Dg
IGF2,all,sample,4202,0,0,0,0,GSE227903,5750_Dg
VEGFA,all,sample,4202,479,0.0802532920825207,707,11.3993,GSE227903,5750_Dg
FGF2,all,sample,4202,3,0.00032837950211925,3,0.0714,GSE227903,5750_Dg
HGF,all,sample,4202,1086,0.201376594687417,1950,25.8448,GSE227903,5750_Dg
OSM,all,sample,4202,388,0.0608896903244882,507,9.2337,GSE227903,5750_Dg
OSMR,all,sample,4202,45,0.00574092079761171,45,1.0709,GSE227903,5750_Dg
IL11,all,sample,4202,90,0.0155166247020369,154,2.1418,GSE227903,5750_Dg
SPP1,all,sample,4202,32,0.00541031059180456,50,0.7615,GSE227903,5750_Dg
IL1B,all,sample,4202,1327,0.349492905077816,7381,31.5802,GSE227903,5750_Dg
IL6,all,sample,4202,8,0.00150157630580695,11,0.1904,GSE227903,5750_Dg
TNF,all,sample,4202,1967,0.516503819729727,7903,46.811,GSE227903,5750_Dg
CXCL8,all,sample,4202,2384,0.856833970203132,23917,56.7349,GSE227903,5750_Dg
IL10,all,sample,4202,58,0.00971040800620717,73,1.3803,GSE227903,5750_Dg
IFNG,all,sample,4202,10,0.00361644985258768,23,0.238,GSE227903,5750_Dg
CCL2,all,sample,4202,13,0.00325281749361058,58,0.3094,GSE227903,5750_Dg
CCL3,all,sample,4202,479,0.138478078894626,2480,11.3993,GSE227903,5750_Dg
CCL4,all,sample,4202,305,0.0835470148791425,1719,7.2584,GSE227903,5750_Dg
CXCL1,all,sample,4202,13,0.00182925758178355,16,0.3094,GSE227903,5750_Dg
CXCL2,all,sample,4202,490,0.0980775167819779,1351,11.6611,GSE227903,5750_Dg
IL18,all,sample,4202,2830,0.594967338900246,6226,67.3489,GSE227903,5750_Dg
NLRP3,all,sample,4202,886,0.16364479446052,1740,21.0852,GSE227903,5750_Dg
S100A8,all,sample,4202,346,0.146814525549272,4533,8.2342,GSE227903,5750_Dg
S100A9,all,sample,4202,424,0.181937585586935,7539,10.0904,GSE227903,5750_Dg
PF4,all,sample,4202,1,0.000141657004559314,1,0.0238,GSE227903,5750_Dg
PPBP,all,sample,4202,13,0.00198631824673733,13,0.3094,GSE227903,5750_Dg
VWF,all,sample,4202,16,0.00205492742848748,16,0.3808,GSE227903,5750_Dg
ITGA2B,all,sample,4202,265,0.0404521160576286,441,6.3065,GSE227903,5750_Dg
GP9,all,sample,4202,25,0.00291152581019483,26,0.595,GSE227903,5750_Dg
NFE2,all,sample,4202,1905,0.336694558830101,3094,45.3356,GSE227903,5750_Dg
GATA1,all,sample,4202,220,0.0389584866821012,399,5.2356,GSE227903,5750_Dg
MPL,all,sample,4202,61,0.00739758799366355,62,1.4517,GSE227903,5750_Dg
CALR,all,sample,4202,4124,2.0725909218083,51537,98.1437,GSE227903,5750_Dg
JAK2,all,sample,4202,1049,0.160033849151681,1394,24.9643,GSE227903,5750_Dg
LEPR,all,sample,4202,137,0.0187017599422487,156,3.2604,GSE227903,5750_Dg
CXCL12,all,sample,4202,0,0,0,0,GSE227903,5750_Dg
KITLG,all,sample,4202,8,0.000941839848120947,9,0.1904,GSE227903,5750_Dg
ANGPT1,all,sample,4202,1331,0.25603022021464,2741,31.6754,GSE227903,5750_Dg
VCAM1,all,sample,4202,6,0.00231906528573697,25,0.1428,GSE227903,5750_Dg
NES,all,sample,4202,9,0.00125110886907291,9,0.2142,GSE227903,5750_Dg
NGFR,all,sample,4202,1,0.000153392700530938,1,0.0238,GSE227903,5750_Dg
SFRP2,all,sample,4202,0,0,0,0,GSE227903,5750_Dg
SFRP4,all,sample,4202,10,0.00128808948201693,10,0.238,GSE227903,5750_Dg
GREM1,all,sample,4202,31,0.00388376938698947,32,0.7377,GSE227903,5750_Dg
FAP,all,sample,4202,66,0.00937449450624684,70,1.5707,GSE227903,5750_Dg
BGLAP,all,sample,4202,187,0.02404308690112,207,4.4503,GSE227903,5750_Dg
RUNX2,all,sample,4202,1660,0.281981385025354,2508,39.505,GSE227903,5750_Dg
SP7,all,sample,4202,14,0.00153455550993511,14,0.3332,GSE227903,5750_Dg
ACTA2,all,sample,4202,580,0.0785159270210563,666,13.803,GSE227903,5750_Dg
TAGLN,all,sample,4202,399,0.0575721271577364,500,9.4955,GSE227903,5750_Dg
RGS5,all,sample,4202,12,0.0017140115650437,13,0.2856,GSE227903,5750_Dg
MYH11,all,sample,4202,605,0.0897636866633773,749,14.3979,GSE227903,5750_Dg
CDH5,all,sample,4202,0,0,0,0,GSE227903,5750_Dg
PECAM1,all,sample,4202,1662,0.284319501209084,2690,39.5526,GSE227903,5750_Dg
EMCN,all,sample,4202,3,0.000403561194970443,3,0.0714,GSE227903,5750_Dg
HIF1A,all,sample,4202,3315,0.802637802421823,9164,78.891,GSE227903,5750_Dg
EPAS1,all,sample,4202,16,0.00251884109691404,19,0.3808,GSE227903,5750_Dg
CA9,all,sample,4202,3,0.000385521796309296,3,0.0714,GSE227903,5750_Dg
LDHA,all,sample,4202,3706,1.14123156110826,16008,88.1961,GSE227903,5750_Dg
SLC2A1,all,sample,4202,495,0.0715784116329777,654,11.7801,GSE227903,5750_Dg
PGK1,all,sample,4202,3934,1.24603530317636,17188,93.6221,GSE227903,5750_Dg
ADM,all,sample,4202,91,0.0153788465995831,117,2.1656,GSE227903,5750_Dg
BNIP3,all,sample,4202,1299,0.199168245265171,1781,30.9139,GSE227903,5750_Dg
NDRG1,all,sample,4202,1845,0.325841506854386,2894,43.9077,GSE227903,5750_Dg
SNAI1,all,sample,4202,171,0.0297903662959256,222,4.0695,GSE227903,5750_Dg
SNAI2,all,sample,4202,0,0,0,0,GSE227903,5750_Dg
TWIST1,all,sample,4202,9,0.00132981670218829,10,0.2142,GSE227903,5750_Dg
ZEB1,all,sample,4202,982,0.16615893371186,1525,23.3698,GSE227903,5750_Dg
ZEB2,all,sample,4202,3953,1.64900884059404,33833,94.0743,GSE227903,5750_Dg
VIM,all,sample,4202,4146,3.33369865350223,213577,98.6673,GSE227903,5750_Dg
CDH2,all,sample,4202,0,0,0,0,GSE227903,5750_Dg
NECTIN4,all,sample,4202,20,0.00286239760831071,21,0.476,GSE227903,5750_Dg
NECTIN1,all,sample,4202,768,0.112072672950796,948,18.277,GSE227903,5750_Dg
NECTIN2,all,sample,4202,1116,0.164028029656335,1477,26.5588,GSE227903,5750_Dg
NECTIN3,all,sample,4202,31,0.005076787448524,38,0.7377,GSE227903,5750_Dg
PVR,all,sample,4202,200,0.0260966804342015,219,4.7596,GSE227903,5750_Dg
TIGIT,all,sample,4202,40,0.00968115647358441,58,0.9519,GSE227903,5750_Dg
CD226,all,sample,4202,109,0.0153244685359441,122,2.594,GSE227903,5750_Dg
CD96,all,sample,4202,3160,0.787597904929036,9198,75.2023,GSE227903,5750_Dg
C1QA,all,sample,4202,5,0.00149651286344226,12,0.119,GSE227903,5750_Dg
C1QB,all,sample,4202,2,0.000340640834101027,2,0.0476,GSE227903,5750_Dg
C1QC,all,sample,4202,0,0,0,0,GSE227903,5750_Dg
CD163,all,sample,4202,6,0.000829690954288008,6,0.1428,GSE227903,5750_Dg
MRC1,all,sample,4202,29,0.00388973854346438,31,0.6901,GSE227903,5750_Dg
VSIG4,all,sample,4202,13,0.00187118042427993,14,0.3094,GSE227903,5750_Dg
SELENOP,all,sample,4202,1,0.000214002025425016,1,0.0238,GSE227903,5750_Dg
STAB1,all,sample,4202,357,0.0508967190646968,433,8.496,GSE227903,5750_Dg
LYVE1,all,sample,4202,0,0,0,0,GSE227903,5750_Dg
MAF,all,sample,4202,23,0.005966557113531,34,0.5474,GSE227903,5750_Dg
FCN1,all,sample,4202,290,0.0751180219105054,998,6.9015,GSE227903,5750_Dg
S100A12,all,sample,4202,41,0.0111553602814021,229,0.9757,GSE227903,5750_Dg
SELL,all,sample,4202,2414,0.541150355827819,6063,57.4488,GSE227903,5750_Dg
CSF3R,all,sample,4202,3191,0.861825578830723,10764,75.94,GSE227903,5750_Dg
PLAC8,all,sample,4202,3512,0.959558050373846,12354,83.5792,GSE227903,5750_Dg
COL1A1,LMPP_GMP,bin,2871,3,0.000507005517299484,3,0.1045,GSE227903,5750_Dg
COL1A2,LMPP_GMP,bin,2871,0,0,0,0,GSE227903,5750_Dg
COL3A1,LMPP_GMP,bin,2871,0,0,0,0,GSE227903,5750_Dg
COL4A1,LMPP_GMP,bin,2871,0,0,0,0,GSE227903,5750_Dg
COL5A1,LMPP_GMP,bin,2871,4,0.00070926994885213,4,0.1393,GSE227903,5750_Dg
COL5A2,LMPP_GMP,bin,2871,6,0.00138401046893374,8,0.209,GSE227903,5750_Dg
COL6A1,LMPP_GMP,bin,2871,19,0.00334167362562225,19,0.6618,GSE227903,5750_Dg
COL6A2,LMPP_GMP,bin,2871,82,0.0174859001242479,108,2.8561,GSE227903,5750_Dg
COL6A3,LMPP_GMP,bin,2871,46,0.00808932700562235,46,1.6022,GSE227903,5750_Dg
COL11A1,LMPP_GMP,bin,2871,0,0,0,0,GSE227903,5750_Dg
FN1,LMPP_GMP,bin,2871,31,0.00621426715237166,34,1.0798,GSE227903,5750_Dg
LUM,LMPP_GMP,bin,2871,2,0.000353186665790877,2,0.0697,GSE227903,5750_Dg
DCN,LMPP_GMP,bin,2871,86,0.0169249171326592,106,2.9955,GSE227903,5750_Dg
POSTN,LMPP_GMP,bin,2871,0,0,0,0,GSE227903,5750_Dg
SPARC,LMPP_GMP,bin,2871,238,0.0475311664288041,313,8.2898,GSE227903,5750_Dg
BGN,LMPP_GMP,bin,2871,2,0.00019425441547645,2,0.0697,GSE227903,5750_Dg
VCAN,LMPP_GMP,bin,2871,5,0.00088006904819666,5,0.1742,GSE227903,5750_Dg
ELN,LMPP_GMP,bin,2871,24,0.00433350715083172,24,0.8359,GSE227903,5750_Dg
FBN1,LMPP_GMP,bin,2871,27,0.00523956155259862,28,0.9404,GSE227903,5750_Dg
MGP,LMPP_GMP,bin,2871,63,0.0134447951381415,71,2.1944,GSE227903,5750_Dg
OGN,LMPP_GMP,bin,2871,33,0.00605306151980146,33,1.1494,GSE227903,5750_Dg
ASPN,LMPP_GMP,bin,2871,15,0.00248948453346055,15,0.5225,GSE227903,5750_Dg
TNC,LMPP_GMP,bin,2871,4,0.000762731539199373,4,0.1393,GSE227903,5750_Dg
LTBP1,LMPP_GMP,bin,2871,8,0.00193652035426504,9,0.2786,GSE227903,5750_Dg
LTBP2,LMPP_GMP,bin,2871,8,0.00154635205234811,8,0.2786,GSE227903,5750_Dg
LOX,LMPP_GMP,bin,2871,7,0.0012009699193248,7,0.2438,GSE227903,5750_Dg
LOXL1,LMPP_GMP,bin,2871,8,0.00162726517999806,8,0.2786,GSE227903,5750_Dg
LOXL2,LMPP_GMP,bin,2871,4,0.000656199469324644,4,0.1393,GSE227903,5750_Dg
PLOD1,LMPP_GMP,bin,2871,116,0.0207788217774333,123,4.0404,GSE227903,5750_Dg
PLOD2,LMPP_GMP,bin,2871,0,0,0,0,GSE227903,5750_Dg
SERPINH1,LMPP_GMP,bin,2871,26,0.00509035220494783,28,0.9056,GSE227903,5750_Dg
SERPINE1,LMPP_GMP,bin,2871,1258,0.439430765149073,3954,43.8175,GSE227903,5750_Dg
TIMP1,LMPP_GMP,bin,2871,1096,0.291643025304346,1995,38.1749,GSE227903,5750_Dg
TIMP2,LMPP_GMP,bin,2871,1087,0.265001844853145,1658,37.8614,GSE227903,5750_Dg
TIMP3,LMPP_GMP,bin,2871,14,0.00292445383102491,15,0.4876,GSE227903,5750_Dg
MMP2,LMPP_GMP,bin,2871,81,0.0149810317978637,85,2.8213,GSE227903,5750_Dg
MMP9,LMPP_GMP,bin,2871,28,0.00536874639483095,30,0.9753,GSE227903,5750_Dg
MMP14,LMPP_GMP,bin,2871,7,0.00115636222058588,7,0.2438,GSE227903,5750_Dg
CTSK,LMPP_GMP,bin,2871,61,0.0119631366750083,68,2.1247,GSE227903,5750_Dg
ADAMTS1,LMPP_GMP,bin,2871,3,0.000865564966381638,3,0.1045,GSE227903,5750_Dg
TGFB1,LMPP_GMP,bin,2871,2457,0.929006976409585,7610,85.5799,GSE227903,5750_Dg
TGFB2,LMPP_GMP,bin,2871,19,0.00376313883621203,20,0.6618,GSE227903,5750_Dg
TGFB3,LMPP_GMP,bin,2871,19,0.00344727584116346,19,0.6618,GSE227903,5750_Dg
TGFBR1,LMPP_GMP,bin,2871,1076,0.253411214238303,1535,37.4782,GSE227903,5750_Dg
TGFBR2,LMPP_GMP,bin,2871,983,0.2232205972117,1343,34.2389,GSE227903,5750_Dg
PDGFA,LMPP_GMP,bin,2871,709,0.209455957106993,1647,24.6952,GSE227903,5750_Dg
PDGFB,LMPP_GMP,bin,2871,6,0.00138276815319926,6,0.209,GSE227903,5750_Dg
PDGFRA,LMPP_GMP,bin,2871,2,0.000489092124863567,3,0.0697,GSE227903,5750_Dg
PDGFRB,LMPP_GMP,bin,2871,1,0.000227528065351308,1,0.0348,GSE227903,5750_Dg
CCN2,LMPP_GMP,bin,2871,0,0,0,0,GSE227903,5750_Dg
CCN1,LMPP_GMP,bin,2871,19,0.00416407623978316,25,0.6618,GSE227903,5750_Dg
IGF1,LMPP_GMP,bin,2871,0,0,0,0,GSE227903,5750_Dg
IGF2,LMPP_GMP,bin,2871,0,0,0,0,GSE227903,5750_Dg
VEGFA,LMPP_GMP,bin,2871,267,0.0567726081748794,330,9.2999,GSE227903,5750_Dg
FGF2,LMPP_GMP,bin,2871,2,0.000375395317571997,2,0.0697,GSE227903,5750_Dg
HGF,LMPP_GMP,bin,2871,841,0.235911911184475,1562,29.2929,GSE227903,5750_Dg
OSM,LMPP_GMP,bin,2871,217,0.0442740154095957,255,7.5583,GSE227903,5750_Dg
OSMR,LMPP_GMP,bin,2871,34,0.00639205485671886,34,1.1843,GSE227903,5750_Dg
IL11,LMPP_GMP,bin,2871,59,0.0137472368663886,86,2.055,GSE227903,5750_Dg
SPP1,LMPP_GMP,bin,2871,19,0.00424569220109245,30,0.6618,GSE227903,5750_Dg
IL1B,LMPP_GMP,bin,2871,785,0.235413826643704,2263,27.3424,GSE227903,5750_Dg
IL6,LMPP_GMP,bin,2871,1,0.000248446006695315,1,0.0348,GSE227903,5750_Dg
TNF,LMPP_GMP,bin,2871,1346,0.509483884441639,5152,46.8826,GSE227903,5750_Dg
CXCL8,LMPP_GMP,bin,2871,1501,0.687173727175429,10457,52.2814,GSE227903,5750_Dg
IL10,LMPP_GMP,bin,2871,23,0.00459618640209927,24,0.8011,GSE227903,5750_Dg
IFNG,LMPP_GMP,bin,2871,0,0,0,0,GSE227903,5750_Dg
CCL2,LMPP_GMP,bin,2871,1,0.000197891753042456,1,0.0348,GSE227903,5750_Dg
CCL3,LMPP_GMP,bin,2871,161,0.047012095530712,392,5.6078,GSE227903,5750_Dg
CCL4,LMPP_GMP,bin,2871,111,0.0318310631936726,359,3.8662,GSE227903,5750_Dg
CXCL1,LMPP_GMP,bin,2871,8,0.00160192063850388,8,0.2786,GSE227903,5750_Dg
CXCL2,LMPP_GMP,bin,2871,302,0.0803506899319,542,10.519,GSE227903,5750_Dg
IL18,LMPP_GMP,bin,2871,2035,0.633009915002358,4539,70.8812,GSE227903,5750_Dg
NLRP3,LMPP_GMP,bin,2871,451,0.100419956710453,630,15.7088,GSE227903,5750_Dg
S100A8,LMPP_GMP,bin,2871,71,0.0208846363283377,136,2.473,GSE227903,5750_Dg
S100A9,LMPP_GMP,bin,2871,114,0.0297352208139696,211,3.9707,GSE227903,5750_Dg
PF4,LMPP_GMP,bin,2871,0,0,0,0,GSE227903,5750_Dg
PPBP,LMPP_GMP,bin,2871,9,0.00185114227268082,9,0.3135,GSE227903,5750_Dg
VWF,LMPP_GMP,bin,2871,13,0.00250871124399872,13,0.4528,GSE227903,5750_Dg
ITGA2B,LMPP_GMP,bin,2871,143,0.0292527219508695,195,4.9808,GSE227903,5750_Dg
GP9,LMPP_GMP,bin,2871,11,0.00236844782898801,12,0.3831,GSE227903,5750_Dg
NFE2,LMPP_GMP,bin,2871,1411,0.361991090391874,2281,49.1466,GSE227903,5750_Dg
GATA1,LMPP_GMP,bin,2871,51,0.0127344135340016,79,1.7764,GSE227903,5750_Dg
MPL,LMPP_GMP,bin,2871,43,0.00778385622596249,44,1.4977,GSE227903,5750_Dg
CALR,LMPP_GMP,bin,2871,2856,2.13074485254506,35425,99.4775,GSE227903,5750_Dg
JAK2,LMPP_GMP,bin,2871,657,0.142344611733862,844,22.884,GSE227903,5750_Dg
LEPR,LMPP_GMP,bin,2871,65,0.0127184667694686,76,2.264,GSE227903,5750_Dg
CXCL12,LMPP_GMP,bin,2871,0,0,0,0,GSE227903,5750_Dg
KITLG,LMPP_GMP,bin,2871,3,0.000621998524221759,4,0.1045,GSE227903,5750_Dg
ANGPT1,LMPP_GMP,bin,2871,1011,0.288543857096384,2082,35.2142,GSE227903,5750_Dg
VCAM1,LMPP_GMP,bin,2871,1,0.000208158952068647,1,0.0348,GSE227903,5750_Dg
NES,LMPP_GMP,bin,2871,2,0.000420773119545359,2,0.0697,GSE227903,5750_Dg
NGFR,LMPP_GMP,bin,2871,0,0,0,0,GSE227903,5750_Dg
SFRP2,LMPP_GMP,bin,2871,0,0,0,0,GSE227903,5750_Dg
SFRP4,LMPP_GMP,bin,2871,7,0.00142965519644655,7,0.2438,GSE227903,5750_Dg
GREM1,LMPP_GMP,bin,2871,26,0.00494757274215581,27,0.9056,GSE227903,5750_Dg
FAP,LMPP_GMP,bin,2871,53,0.0111557698994077,57,1.846,GSE227903,5750_Dg
BGLAP,LMPP_GMP,bin,2871,128,0.0249630249861654,144,4.4584,GSE227903,5750_Dg
RUNX2,LMPP_GMP,bin,2871,1200,0.297072924662431,1799,41.7973,GSE227903,5750_Dg
SP7,LMPP_GMP,bin,2871,10,0.00171861184345594,10,0.3483,GSE227903,5750_Dg
ACTA2,LMPP_GMP,bin,2871,433,0.0867339640269134,491,15.0819,GSE227903,5750_Dg
TAGLN,LMPP_GMP,bin,2871,288,0.061746377899713,364,10.0313,GSE227903,5750_Dg
RGS5,LMPP_GMP,bin,2871,8,0.00157727816565275,8,0.2786,GSE227903,5750_Dg
MYH11,LMPP_GMP,bin,2871,463,0.102687368063901,574,16.1268,GSE227903,5750_Dg
CDH5,LMPP_GMP,bin,2871,0,0,0,0,GSE227903,5750_Dg
PECAM1,LMPP_GMP,bin,2871,1112,0.264370153129141,1682,38.7321,GSE227903,5750_Dg
EMCN,LMPP_GMP,bin,2871,2,0.000418968825840774,2,0.0697,GSE227903,5750_Dg
HIF1A,LMPP_GMP,bin,2871,2266,0.78412475970684,6060,78.9272,GSE227903,5750_Dg
EPAS1,LMPP_GMP,bin,2871,7,0.00136051540050947,7,0.2438,GSE227903,5750_Dg
CA9,LMPP_GMP,bin,2871,1,0.000252985925928367,1,0.0348,GSE227903,5750_Dg
LDHA,LMPP_GMP,bin,2871,2637,1.20286442286692,11423,91.8495,GSE227903,5750_Dg
SLC2A1,LMPP_GMP,bin,2871,255,0.0507718158459308,298,8.8819,GSE227903,5750_Dg
PGK1,LMPP_GMP,bin,2871,2732,1.27224796042975,12005,95.1585,GSE227903,5750_Dg
ADM,LMPP_GMP,bin,2871,40,0.0084678586381487,45,1.3932,GSE227903,5750_Dg
BNIP3,LMPP_GMP,bin,2871,920,0.202475848973623,1231,32.0446,GSE227903,5750_Dg
NDRG1,LMPP_GMP,bin,2871,1252,0.306175796546663,1859,43.6085,GSE227903,5750_Dg
SNAI1,LMPP_GMP,bin,2871,90,0.0215267697025706,112,3.1348,GSE227903,5750_Dg
SNAI2,LMPP_GMP,bin,2871,0,0,0,0,GSE227903,5750_Dg
TWIST1,LMPP_GMP,bin,2871,8,0.00172044429974944,9,0.2786,GSE227903,5750_Dg
ZEB1,LMPP_GMP,bin,2871,735,0.183534885724775,1136,25.6008,GSE227903,5750_Dg
ZEB2,LMPP_GMP,bin,2871,2704,1.58544272790713,21014,94.1832,GSE227903,5750_Dg
VIM,LMPP_GMP,bin,2871,2836,3.33280811634597,142549,98.7809,GSE227903,5750_Dg
CDH2,LMPP_GMP,bin,2871,0,0,0,0,GSE227903,5750_Dg
NECTIN4,LMPP_GMP,bin,2871,7,0.00173659285840992,8,0.2438,GSE227903,5750_Dg
NECTIN1,LMPP_GMP,bin,2871,546,0.116193451005294,664,19.0178,GSE227903,5750_Dg
NECTIN2,LMPP_GMP,bin,2871,834,0.181580915428856,1091,29.0491,GSE227903,5750_Dg
NECTIN3,LMPP_GMP,bin,2871,20,0.00447660553653889,24,0.6966,GSE227903,5750_Dg
PVR,LMPP_GMP,bin,2871,123,0.0233936100794405,133,4.2842,GSE227903,5750_Dg
TIGIT,LMPP_GMP,bin,2871,17,0.00368326322696304,17,0.5921,GSE227903,5750_Dg
CD226,LMPP_GMP,bin,2871,55,0.0104231300323414,60,1.9157,GSE227903,5750_Dg
CD96,LMPP_GMP,bin,2871,2409,0.891101234623515,7148,83.908,GSE227903,5750_Dg
C1QA,LMPP_GMP,bin,2871,0,0,0,0,GSE227903,5750_Dg
C1QB,LMPP_GMP,bin,2871,0,0,0,0,GSE227903,5750_Dg
C1QC,LMPP_GMP,bin,2871,0,0,0,0,GSE227903,5750_Dg
CD163,LMPP_GMP,bin,2871,1,0.000178345005517123,1,0.0348,GSE227903,5750_Dg
MRC1,LMPP_GMP,bin,2871,13,0.00269020993847354,14,0.4528,GSE227903,5750_Dg
VSIG4,LMPP_GMP,bin,2871,4,0.000870760138453417,5,0.1393,GSE227903,5750_Dg
SELENOP,LMPP_GMP,bin,2871,0,0,0,0,GSE227903,5750_Dg
STAB1,LMPP_GMP,bin,2871,235,0.045716288295205,278,8.1853,GSE227903,5750_Dg
LYVE1,LMPP_GMP,bin,2871,0,0,0,0,GSE227903,5750_Dg
MAF,LMPP_GMP,bin,2871,7,0.00168004581977434,9,0.2438,GSE227903,5750_Dg
FCN1,LMPP_GMP,bin,2871,130,0.0293510356384684,180,4.528,GSE227903,5750_Dg
S100A12,LMPP_GMP,bin,2871,1,0.000113758938138652,1,0.0348,GSE227903,5750_Dg
SELL,LMPP_GMP,bin,2871,1854,0.620962986158371,4697,64.5768,GSE227903,5750_Dg
CSF3R,LMPP_GMP,bin,2871,2456,0.991939785083018,8539,85.5451,GSE227903,5750_Dg
PLAC8,LMPP_GMP,bin,2871,2444,0.95324401690036,8041,85.1271,GSE227903,5750_Dg
COL1A1,Mono_DC,bin,413,0,0,0,0,GSE227903,5750_Dg
COL1A2,Mono_DC,bin,413,0,0,0,0,GSE227903,5750_Dg
COL3A1,Mono_DC,bin,413,0,0,0,0,GSE227903,5750_Dg
COL4A1,Mono_DC,bin,413,0,0,0,0,GSE227903,5750_Dg
COL5A1,Mono_DC,bin,413,0,0,0,0,GSE227903,5750_Dg
COL5A2,Mono_DC,bin,413,0,0,0,0,GSE227903,5750_Dg
COL6A1,Mono_DC,bin,413,1,0.00191312159026036,1,0.2421,GSE227903,5750_Dg
COL6A2,Mono_DC,bin,413,0,0,0,0,GSE227903,5750_Dg
COL6A3,Mono_DC,bin,413,2,0.00529206812741911,2,0.4843,GSE227903,5750_Dg
COL11A1,Mono_DC,bin,413,0,0,0,0,GSE227903,5750_Dg
