subclone,arm,direction,n_genes_nonneutral,n_genes_arm,frac_arm,is_event,dataset,sample
observation.observation_s3,5q,gain,23,279,0.0824372759856631,FALSE,GSE239721,PT26A
observation.observation_s3,6p,gain,118,233,0.506437768240343,TRUE,GSE239721,PT26A
observation.observation_s3,9q,gain,50,204,0.245098039215686,FALSE,GSE239721,PT26A
observation.observation_s3,11p,gain,17,141,0.120567375886525,FALSE,GSE239721,PT26A
observation.observation_s3,11q,gain,128,300,0.426666666666667,FALSE,GSE239721,PT26A
observation.observation_s3,12q,gain,60,324,0.185185185185185,FALSE,GSE239721,PT26A
observation.observation_s3,17p,gain,73,117,0.623931623931624,TRUE,GSE239721,PT26A
observation.observation_s3,17q,gain,46,327,0.140672782874618,FALSE,GSE239721,PT26A
observation.observation_s3,19p,gain,240,261,0.919540229885057,TRUE,GSE239721,PT26A
observation.observation_s3,19q,gain,189,219,0.863013698630137,TRUE,GSE239721,PT26A
observation.observation_s7,5q,gain,21,279,0.0752688172043011,FALSE,GSE239721,PT26A
observation.observation_s7,6p,gain,89,233,0.381974248927039,FALSE,GSE239721,PT26A
observation.observation_s7,9q,gain,40,204,0.196078431372549,FALSE,GSE239721,PT26A
observation.observation_s7,12q,gain,60,324,0.185185185185185,FALSE,GSE239721,PT26A
observation.observation_s7,17p,gain,61,117,0.521367521367521,TRUE,GSE239721,PT26A
observation.observation_s7,19p,gain,206,261,0.789272030651341,TRUE,GSE239721,PT26A
observation.observation_s7,19q,gain,184,219,0.840182648401827,TRUE,GSE239721,PT26A
observation.observation_s10,5q,gain,76,279,0.272401433691756,FALSE,GSE239721,PT26A
observation.observation_s10,6p,gain,114,233,0.489270386266094,FALSE,GSE239721,PT26A
observation.observation_s10,9q,gain,19,204,0.0931372549019608,FALSE,GSE239721,PT26A
observation.observation_s10,12q,gain,66,324,0.203703703703704,FALSE,GSE239721,PT26A
observation.observation_s10,17p,gain,46,117,0.393162393162393,FALSE,GSE239721,PT26A
observation.observation_s10,19p,gain,83,261,0.318007662835249,FALSE,GSE239721,PT26A
observation.observation_s10,19q,gain,169,219,0.771689497716895,TRUE,GSE239721,PT26A
observation.observation_s6,5q,gain,69,279,0.247311827956989,FALSE,GSE239721,PT26A
observation.observation_s6,6p,gain,104,233,0.446351931330472,FALSE,GSE239721,PT26A
observation.observation_s6,9q,gain,29,204,0.142156862745098,FALSE,GSE239721,PT26A
observation.observation_s6,12q,gain,90,324,0.277777777777778,FALSE,GSE239721,PT26A
observation.observation_s6,17p,gain,54,117,0.461538461538462,FALSE,GSE239721,PT26A
observation.observation_s6,19p,gain,92,261,0.352490421455939,FALSE,GSE239721,PT26A
observation.observation_s6,19q,gain,170,219,0.776255707762557,TRUE,GSE239721,PT26A
observation.observation_s4,5q,gain,75,279,0.268817204301075,FALSE,GSE239721,PT26A
observation.observation_s4,6p,gain,129,233,0.553648068669528,TRUE,GSE239721,PT26A
observation.observation_s4,9p,gain,29,75,0.386666666666667,FALSE,GSE239721,PT26A
observation.observation_s4,9q,gain,34,204,0.166666666666667,FALSE,GSE239721,PT26A
observation.observation_s4,12q,gain,68,324,0.209876543209877,FALSE,GSE239721,PT26A
observation.observation_s4,17p,gain,40,117,0.341880341880342,FALSE,GSE239721,PT26A
observation.observation_s4,19p,gain,90,261,0.344827586206897,FALSE,GSE239721,PT26A
observation.observation_s4,19q,gain,170,219,0.776255707762557,TRUE,GSE239721,PT26A
observation.observation_s1,4q,gain,35,184,0.190217391304348,FALSE,GSE239721,PT26A
observation.observation_s1,5q,gain,79,279,0.283154121863799,FALSE,GSE239721,PT26A
observation.observation_s1,6p,gain,130,233,0.55793991416309,TRUE,GSE239721,PT26A
observation.observation_s1,9p,gain,33,75,0.44,FALSE,GSE239721,PT26A
observation.observation_s1,9q,gain,27,204,0.132352941176471,FALSE,GSE239721,PT26A
observation.observation_s1,12q,gain,65,324,0.200617283950617,FALSE,GSE239721,PT26A
observation.observation_s1,16p,loss,26,189,0.137566137566138,FALSE,GSE239721,PT26A
observation.observation_s1,17p,gain,53,117,0.452991452991453,FALSE,GSE239721,PT26A
observation.observation_s1,19p,gain,89,261,0.340996168582375,FALSE,GSE239721,PT26A
observation.observation_s1,19q,gain,169,219,0.771689497716895,TRUE,GSE239721,PT26A
observation.observation_s11,5q,gain,20,279,0.0716845878136201,FALSE,GSE239721,PT26A
observation.observation_s11,6p,gain,107,233,0.459227467811159,FALSE,GSE239721,PT26A
observation.observation_s11,9q,gain,44,204,0.215686274509804,FALSE,GSE239721,PT26A
observation.observation_s11,12q,gain,71,324,0.219135802469136,FALSE,GSE239721,PT26A
observation.observation_s11,17p,gain,59,117,0.504273504273504,TRUE,GSE239721,PT26A
observation.observation_s11,19p,gain,200,261,0.766283524904215,TRUE,GSE239721,PT26A
observation.observation_s11,19q,gain,176,219,0.80365296803653,TRUE,GSE239721,PT26A
observation.observation_s13,4q,gain,38,184,0.206521739130435,FALSE,GSE239721,PT26A
observation.observation_s13,5q,gain,77,279,0.275985663082437,FALSE,GSE239721,PT26A
observation.observation_s13,6p,gain,130,233,0.55793991416309,TRUE,GSE239721,PT26A
observation.observation_s13,9p,gain,30,75,0.4,FALSE,GSE239721,PT26A
observation.observation_s13,10p,gain,63,71,0.887323943661972,TRUE,GSE239721,PT26A
observation.observation_s13,12q,gain,71,324,0.219135802469136,FALSE,GSE239721,PT26A
observation.observation_s13,16p,loss,49,189,0.259259259259259,FALSE,GSE239721,PT26A
observation.observation_s13,16q,loss,39,135,0.288888888888889,FALSE,GSE239721,PT26A
observation.observation_s13,19p,gain,69,261,0.264367816091954,FALSE,GSE239721,PT26A
observation.observation_s13,19q,gain,78,219,0.356164383561644,FALSE,GSE239721,PT26A
observation.observation_s13,22q,loss,46,193,0.238341968911917,FALSE,GSE239721,PT26A
observation.observation_s15,3q,gain,43,218,0.197247706422018,FALSE,GSE239721,PT26A
observation.observation_s15,4q,gain,36,184,0.195652173913043,FALSE,GSE239721,PT26A
observation.observation_s15,5q,gain,79,279,0.283154121863799,FALSE,GSE239721,PT26A
observation.observation_s15,6p,gain,112,233,0.48068669527897,FALSE,GSE239721,PT26A
observation.observation_s15,9q,gain,15,204,0.0735294117647059,FALSE,GSE239721,PT26A
observation.observation_s15,12q,gain,70,324,0.216049382716049,FALSE,GSE239721,PT26A
observation.observation_s15,16p,loss,39,189,0.206349206349206,FALSE,GSE239721,PT26A
observation.observation_s15,16q,loss,44,135,0.325925925925926,FALSE,GSE239721,PT26A
observation.observation_s15,17p,gain,47,117,0.401709401709402,FALSE,GSE239721,PT26A
observation.observation_s15,19p,gain,73,261,0.279693486590038,FALSE,GSE239721,PT26A
observation.observation_s15,19q,gain,91,219,0.415525114155251,FALSE,GSE239721,PT26A
observation.observation_s5,5q,gain,29,279,0.103942652329749,FALSE,GSE239721,PT26A
observation.observation_s5,6p,gain,125,233,0.536480686695279,TRUE,GSE239721,PT26A
observation.observation_s5,9q,gain,31,204,0.151960784313725,FALSE,GSE239721,PT26A
observation.observation_s5,12q,gain,47,324,0.145061728395062,FALSE,GSE239721,PT26A
observation.observation_s5,17p,gain,52,117,0.444444444444444,FALSE,GSE239721,PT26A
observation.observation_s5,19p,gain,208,261,0.796934865900383,TRUE,GSE239721,PT26A
observation.observation_s5,19q,gain,174,219,0.794520547945206,TRUE,GSE239721,PT26A
observation.observation_s9,5q,gain,80,279,0.28673835125448,FALSE,GSE239721,PT26A
observation.observation_s9,6p,gain,122,233,0.523605150214592,TRUE,GSE239721,PT26A
observation.observation_s9,9p,gain,35,75,0.466666666666667,FALSE,GSE239721,PT26A
observation.observation_s9,9q,gain,19,204,0.0931372549019608,FALSE,GSE239721,PT26A
observation.observation_s9,12q,gain,64,324,0.197530864197531,FALSE,GSE239721,PT26A
observation.observation_s9,17p,gain,42,117,0.358974358974359,FALSE,GSE239721,PT26A
observation.observation_s9,19p,gain,97,261,0.371647509578544,FALSE,GSE239721,PT26A
observation.observation_s9,19q,gain,164,219,0.748858447488584,TRUE,GSE239721,PT26A
observation.observation_s12,4p,gain,2,80,0.025,FALSE,GSE239721,PT26A
observation.observation_s12,4q,gain,32,184,0.173913043478261,FALSE,GSE239721,PT26A
observation.observation_s12,5q,gain,15,279,0.0537634408602151,FALSE,GSE239721,PT26A
observation.observation_s12,6p,gain,97,233,0.416309012875536,FALSE,GSE239721,PT26A
observation.observation_s12,9q,gain,17,204,0.0833333333333333,FALSE,GSE239721,PT26A
observation.observation_s12,12q,gain,121,324,0.373456790123457,FALSE,GSE239721,PT26A
observation.observation_s12,17p,gain,44,117,0.376068376068376,FALSE,GSE239721,PT26A
observation.observation_s12,19p,gain,45,261,0.172413793103448,FALSE,GSE239721,PT26A
observation.observation_s2,2q,loss,52,275,0.189090909090909,FALSE,GSE239721,PT26A
observation.observation_s2,3p,gain,44,208,0.211538461538462,FALSE,GSE239721,PT26A
observation.observation_s2,5q,gain,25,279,0.0896057347670251,FALSE,GSE239721,PT26A
observation.observation_s2,6p,gain,115,233,0.493562231759657,FALSE,GSE239721,PT26A
observation.observation_s2,9q,gain,45,204,0.220588235294118,FALSE,GSE239721,PT26A
observation.observation_s2,11q,gain,106,300,0.353333333333333,FALSE,GSE239721,PT26A
observation.observation_s2,12q,gain,40,324,0.123456790123457,FALSE,GSE239721,PT26A
observation.observation_s2,17p,gain,62,117,0.52991452991453,TRUE,GSE239721,PT26A
observation.observation_s2,19p,gain,231,261,0.885057471264368,TRUE,GSE239721,PT26A
observation.observation_s2,19q,gain,183,219,0.835616438356164,TRUE,GSE239721,PT26A
observation.observation_s16,5q,gain,72,279,0.258064516129032,FALSE,GSE239721,PT26A
observation.observation_s16,6p,gain,121,233,0.51931330472103,TRUE,GSE239721,PT26A
observation.observation_s16,9p,gain,35,75,0.466666666666667,FALSE,GSE239721,PT26A
observation.observation_s16,9q,gain,27,204,0.132352941176471,FALSE,GSE239721,PT26A
observation.observation_s16,10p,gain,44,71,0.619718309859155,TRUE,GSE239721,PT26A
observation.observation_s16,10q,gain,17,200,0.085,FALSE,GSE239721,PT26A
observation.observation_s16,12q,gain,75,324,0.231481481481482,FALSE,GSE239721,PT26A
observation.observation_s16,17p,gain,47,117,0.401709401709402,FALSE,GSE239721,PT26A
observation.observation_s16,19p,gain,86,261,0.329501915708812,FALSE,GSE239721,PT26A
observation.observation_s16,19q,gain,95,219,0.4337899543379,FALSE,GSE239721,PT26A
observation.observation_s17,5q,gain,77,279,0.275985663082437,FALSE,GSE239721,PT26A
observation.observation_s17,6p,gain,131,233,0.562231759656652,TRUE,GSE239721,PT26A
observation.observation_s17,8q,gain,18,166,0.108433734939759,FALSE,GSE239721,PT26A
observation.observation_s17,9q,gain,39,204,0.191176470588235,FALSE,GSE239721,PT26A
observation.observation_s17,12q,gain,70,324,0.216049382716049,FALSE,GSE239721,PT26A
observation.observation_s17,17p,gain,64,117,0.547008547008547,TRUE,GSE239721,PT26A
observation.observation_s17,19p,gain,215,261,0.823754789272031,TRUE,GSE239721,PT26A
observation.observation_s17,19q,gain,170,219,0.776255707762557,TRUE,GSE239721,PT26A
observation.observation_s19,5q,gain,46,279,0.164874551971326,FALSE,GSE239721,PT26A
observation.observation_s19,6p,gain,115,233,0.493562231759657,FALSE,GSE239721,PT26A
observation.observation_s19,9q,gain,24,204,0.117647058823529,FALSE,GSE239721,PT26A
observation.observation_s19,11q,gain,120,300,0.4,FALSE,GSE239721,PT26A
observation.observation_s19,12q,gain,81,324,0.25,FALSE,GSE239721,PT26A
observation.observation_s19,17p,gain,85,117,0.726495726495727,TRUE,GSE239721,PT26A
observation.observation_s19,18q,gain,53,70,0.757142857142857,TRUE,GSE239721,PT26A
observation.observation_s19,19p,gain,86,261,0.329501915708812,FALSE,GSE239721,PT26A
observation.observation_s19,19q,gain,119,219,0.54337899543379,TRUE,GSE239721,PT26A
observation.observation_s19,20q,gain,55,124,0.443548387096774,FALSE,GSE239721,PT26A
observation.observation_s8,5q,gain,65,279,0.232974910394265,FALSE,GSE239721,PT26A
observation.observation_s8,6p,gain,112,233,0.48068669527897,FALSE,GSE239721,PT26A
