subclone,arm,direction,n_genes_nonneutral,n_genes_arm,frac_arm,is_event,dataset,sample
observation.observation_s14,1p,gain,55,218,0.252293577981651,FALSE,GSE185381,GSM5613781_2020-10-06-count2
observation.observation_s14,1q,gain,74,197,0.375634517766498,FALSE,GSE185381,GSM5613781_2020-10-06-count2
observation.observation_s14,7p,gain,20,71,0.28169014084507,FALSE,GSE185381,GSM5613781_2020-10-06-count2
observation.observation_s14,10p,gain,2,49,0.0408163265306122,FALSE,GSE185381,GSM5613781_2020-10-06-count2
observation.observation_s14,10q,gain,45,112,0.401785714285714,FALSE,GSE185381,GSM5613781_2020-10-06-count2
observation.observation_s14,11p,gain,67,67,1,TRUE,GSE185381,GSM5613781_2020-10-06-count2
observation.observation_s14,11q,gain,54,166,0.325301204819277,FALSE,GSE185381,GSM5613781_2020-10-06-count2
observation.observation_s14,11q,loss,56,166,0.337349397590361,FALSE,GSE185381,GSM5613781_2020-10-06-count2
observation.observation_s14,12q,gain,82,185,0.443243243243243,FALSE,GSE185381,GSM5613781_2020-10-06-count2
observation.observation_s14,14q,loss,15,155,0.0967741935483871,FALSE,GSE185381,GSM5613781_2020-10-06-count2
observation.observation_s14,15q,gain,67,137,0.489051094890511,FALSE,GSE185381,GSM5613781_2020-10-06-count2
observation.observation_s14,17p,gain,56,66,0.848484848484848,TRUE,GSE185381,GSM5613781_2020-10-06-count2
observation.observation_s14,19p,gain,11,142,0.0774647887323944,FALSE,GSE185381,GSM5613781_2020-10-06-count2
observation.observation_s14,19q,gain,95,111,0.855855855855856,TRUE,GSE185381,GSM5613781_2020-10-06-count2
observation.observation_s14,20p,gain,32,32,1,TRUE,GSE185381,GSM5613781_2020-10-06-count2
observation.observation_s14,20q,gain,36,68,0.529411764705882,TRUE,GSE185381,GSM5613781_2020-10-06-count2
observation.observation_s14,22q,gain,60,98,0.612244897959184,TRUE,GSE185381,GSM5613781_2020-10-06-count2
observation.observation_s4,1p,gain,64,218,0.293577981651376,FALSE,GSE185381,GSM5613781_2020-10-06-count2
observation.observation_s4,7q,loss,42,116,0.362068965517241,FALSE,GSE185381,GSM5613781_2020-10-06-count2
observation.observation_s4,9q,gain,51,99,0.515151515151515,TRUE,GSE185381,GSM5613781_2020-10-06-count2
observation.observation_s4,12q,gain,108,185,0.583783783783784,TRUE,GSE185381,GSM5613781_2020-10-06-count2
observation.observation_s6,1p,gain,19,218,0.0871559633027523,FALSE,GSE185381,GSM5613781_2020-10-06-count2
observation.observation_s6,1q,gain,72,197,0.365482233502538,FALSE,GSE185381,GSM5613781_2020-10-06-count2
observation.observation_s6,5q,gain,29,196,0.147959183673469,FALSE,GSE185381,GSM5613781_2020-10-06-count2
observation.observation_s6,7q,gain,42,116,0.362068965517241,FALSE,GSE185381,GSM5613781_2020-10-06-count2
observation.observation_s6,10q,gain,41,112,0.366071428571429,FALSE,GSE185381,GSM5613781_2020-10-06-count2
observation.observation_s6,11p,gain,67,67,1,TRUE,GSE185381,GSM5613781_2020-10-06-count2
observation.observation_s6,11q,gain,72,166,0.433734939759036,FALSE,GSE185381,GSM5613781_2020-10-06-count2
observation.observation_s6,11q,loss,52,166,0.313253012048193,FALSE,GSE185381,GSM5613781_2020-10-06-count2
observation.observation_s6,12q,gain,88,185,0.475675675675676,FALSE,GSE185381,GSM5613781_2020-10-06-count2
observation.observation_s6,17p,gain,59,66,0.893939393939394,TRUE,GSE185381,GSM5613781_2020-10-06-count2
observation.observation_s6,19p,gain,142,142,1,TRUE,GSE185381,GSM5613781_2020-10-06-count2
