dataset,sample,sender_bin,receiver_bin,C
Chen2023,AML320,Megakaryocyte,LMPP_GMP,0.448979591836735
Chen2023,AML320,Megakaryocyte,Mono_DC,0.846938775510204
Chen2023,AML320,Megakaryocyte,Erythroid,0.244897959183674
Chen2023,AML320,Megakaryocyte,Megakaryocyte,0.612244897959184
Chen2023,AML320,Megakaryocyte,T_NK,0.846938775510204
Chen2023,AML320,Megakaryocyte,B_Plasma,0.846938775510204
Chen2023,AML320,T_NK,HSC_MPP,0.142857142857143
Chen2023,AML320,T_NK,LMPP_GMP,0.36734693877551
Chen2023,AML320,T_NK,Mono_DC,0.846938775510204
Chen2023,AML320,T_NK,Erythroid,0.306122448979592
Chen2023,AML320,T_NK,Megakaryocyte,0.846938775510204
Chen2023,AML320,T_NK,T_NK,0.63265306122449
Chen2023,AML320,T_NK,B_Plasma,0.183673469387755
Chen2023,AML320,B_Plasma,HSC_MPP,0.428571428571429
Chen2023,AML320,B_Plasma,LMPP_GMP,0.693877551020408
Chen2023,AML320,B_Plasma,Mono_DC,0.673469387755102
Chen2023,AML320,B_Plasma,Erythroid,0.387755102040816
Chen2023,AML320,B_Plasma,Megakaryocyte,0.846938775510204
Chen2023,AML320,B_Plasma,T_NK,0.846938775510204
Chen2023,AML320,B_Plasma,B_Plasma,0.846938775510204
Chen2023,NBM1,HSC_MPP,HSC_MPP,0.183673469387755
Chen2023,NBM1,HSC_MPP,LMPP_GMP,0.0408163265306123
Chen2023,NBM1,HSC_MPP,Mono_DC,0.102040816326531
Chen2023,NBM1,HSC_MPP,Erythroid,0.448979591836735
Chen2023,NBM1,HSC_MPP,Megakaryocyte,0.612244897959184
Chen2023,NBM1,HSC_MPP,T_NK,0.530612244897959
Chen2023,NBM1,HSC_MPP,B_Plasma,0.36734693877551
Chen2023,NBM1,LMPP_GMP,HSC_MPP,0.0612244897959183
Chen2023,NBM1,LMPP_GMP,LMPP_GMP,0.0204081632653061
Chen2023,NBM1,LMPP_GMP,Mono_DC,0
Chen2023,NBM1,LMPP_GMP,Erythroid,0.469387755102041
Chen2023,NBM1,LMPP_GMP,Megakaryocyte,0.714285714285714
Chen2023,NBM1,LMPP_GMP,T_NK,0.26530612244898
Chen2023,NBM1,LMPP_GMP,B_Plasma,0.204081632653061
Chen2023,NBM1,Mono_DC,HSC_MPP,0.408163265306122
Chen2023,NBM1,Mono_DC,LMPP_GMP,0.224489795918367
Chen2023,NBM1,Mono_DC,Mono_DC,0.244897959183674
Chen2023,NBM1,Mono_DC,Erythroid,0.510204081632653
Chen2023,NBM1,Mono_DC,Megakaryocyte,0.673469387755102
Chen2023,NBM1,Mono_DC,T_NK,0.591836734693878
Chen2023,NBM1,Mono_DC,B_Plasma,0.653061224489796
Chen2023,NBM1,Erythroid,HSC_MPP,0.306122448979592
Chen2023,NBM1,Erythroid,LMPP_GMP,0.163265306122449
Chen2023,NBM1,Erythroid,Mono_DC,0.0816326530612245
Chen2023,NBM1,Erythroid,Erythroid,0.571428571428571
Chen2023,NBM1,Erythroid,Megakaryocyte,0.959183673469388
Chen2023,NBM1,Erythroid,T_NK,0.755102040816326
Chen2023,NBM1,Erythroid,B_Plasma,0.346938775510204
Chen2023,NBM1,Megakaryocyte,HSC_MPP,0.285714285714286
Chen2023,NBM1,Megakaryocyte,LMPP_GMP,0.142857142857143
Chen2023,NBM1,Megakaryocyte,Mono_DC,0.122448979591837
Chen2023,NBM1,Megakaryocyte,Erythroid,0.551020408163265
Chen2023,NBM1,Megakaryocyte,Megakaryocyte,0.918367346938776
Chen2023,NBM1,Megakaryocyte,T_NK,0.73469387755102
Chen2023,NBM1,Megakaryocyte,B_Plasma,0.326530612244898
Chen2023,NBM1,T_NK,HSC_MPP,0.693877551020408
Chen2023,NBM1,T_NK,LMPP_GMP,0.428571428571429
Chen2023,NBM1,T_NK,Mono_DC,0.816326530612245
Chen2023,NBM1,T_NK,Erythroid,0.938775510204082
Chen2023,NBM1,T_NK,Megakaryocyte,0.877551020408163
Chen2023,NBM1,T_NK,T_NK,0.63265306122449
Chen2023,NBM1,T_NK,B_Plasma,0.979591836734694
Chen2023,NBM1,B_Plasma,HSC_MPP,0.857142857142857
Chen2023,NBM1,B_Plasma,LMPP_GMP,0.387755102040816
Chen2023,NBM1,B_Plasma,Mono_DC,0.489795918367347
Chen2023,NBM1,B_Plasma,Erythroid,0.795918367346939
Chen2023,NBM1,B_Plasma,Megakaryocyte,0.775510204081633
Chen2023,NBM1,B_Plasma,T_NK,0.836734693877551
Chen2023,NBM1,B_Plasma,B_Plasma,0.897959183673469
Chen2023,NBM2,HSC_MPP,HSC_MPP,0.142857142857143
Chen2023,NBM2,HSC_MPP,LMPP_GMP,0.102040816326531
Chen2023,NBM2,HSC_MPP,Mono_DC,0.0408163265306123
Chen2023,NBM2,HSC_MPP,Erythroid,0.387755102040816
Chen2023,NBM2,HSC_MPP,Megakaryocyte,0.857142857142857
Chen2023,NBM2,HSC_MPP,T_NK,0.408163265306122
Chen2023,NBM2,HSC_MPP,B_Plasma,0.326530612244898
Chen2023,NBM2,LMPP_GMP,HSC_MPP,0.122448979591837
Chen2023,NBM2,LMPP_GMP,LMPP_GMP,0.0816326530612245
Chen2023,NBM2,LMPP_GMP,Mono_DC,0
Chen2023,NBM2,LMPP_GMP,Erythroid,0.306122448979592
Chen2023,NBM2,LMPP_GMP,Megakaryocyte,0.857142857142857
Chen2023,NBM2,LMPP_GMP,T_NK,0.428571428571429
Chen2023,NBM2,LMPP_GMP,B_Plasma,0.285714285714286
Chen2023,NBM2,Mono_DC,HSC_MPP,0.224489795918367
Chen2023,NBM2,Mono_DC,LMPP_GMP,0.183673469387755
Chen2023,NBM2,Mono_DC,Mono_DC,0.0204081632653061
Chen2023,NBM2,Mono_DC,Erythroid,0.510204081632653
Chen2023,NBM2,Mono_DC,Megakaryocyte,0.857142857142857
Chen2023,NBM2,Mono_DC,T_NK,0.489795918367347
Chen2023,NBM2,Mono_DC,B_Plasma,0.469387755102041
Chen2023,NBM2,Erythroid,HSC_MPP,0.244897959183674
Chen2023,NBM2,Erythroid,LMPP_GMP,0.204081632653061
Chen2023,NBM2,Erythroid,Mono_DC,0.0612244897959183
Chen2023,NBM2,Erythroid,Erythroid,0.530612244897959
Chen2023,NBM2,Erythroid,Megakaryocyte,0.857142857142857
Chen2023,NBM2,Erythroid,T_NK,0.612244897959184
Chen2023,NBM2,Erythroid,B_Plasma,0.448979591836735
Chen2023,NBM2,Megakaryocyte,HSC_MPP,0.857142857142857
Chen2023,NBM2,Megakaryocyte,LMPP_GMP,0.857142857142857
Chen2023,NBM2,Megakaryocyte,Mono_DC,0.857142857142857
Chen2023,NBM2,Megakaryocyte,Erythroid,0.857142857142857
Chen2023,NBM2,Megakaryocyte,Megakaryocyte,0.857142857142857
Chen2023,NBM2,Megakaryocyte,T_NK,0.857142857142857
Chen2023,NBM2,Megakaryocyte,B_Plasma,0.857142857142857
Chen2023,NBM2,T_NK,HSC_MPP,0.346938775510204
Chen2023,NBM2,T_NK,LMPP_GMP,0.26530612244898
Chen2023,NBM2,T_NK,Mono_DC,0.163265306122449
Chen2023,NBM2,T_NK,Erythroid,0.714285714285714
Chen2023,NBM2,T_NK,Megakaryocyte,0.857142857142857
Chen2023,NBM2,T_NK,T_NK,0.63265306122449
Chen2023,NBM2,T_NK,B_Plasma,0.551020408163265
Chen2023,NBM2,B_Plasma,HSC_MPP,0.591836734693878
Chen2023,NBM2,B_Plasma,LMPP_GMP,0.571428571428571
Chen2023,NBM2,B_Plasma,Mono_DC,0.36734693877551
Chen2023,NBM2,B_Plasma,Erythroid,0.653061224489796
Chen2023,NBM2,B_Plasma,Megakaryocyte,0.857142857142857
Chen2023,NBM2,B_Plasma,T_NK,0.673469387755102
Chen2023,NBM2,B_Plasma,B_Plasma,0.693877551020408
Chen2023,NBM3,HSC_MPP,HSC_MPP,0.122448979591837
Chen2023,NBM3,HSC_MPP,LMPP_GMP,0.142857142857143
Chen2023,NBM3,HSC_MPP,Mono_DC,0.653061224489796
Chen2023,NBM3,HSC_MPP,Erythroid,0.204081632653061
Chen2023,NBM3,HSC_MPP,Megakaryocyte,0.775510204081633
Chen2023,NBM3,HSC_MPP,T_NK,0.0612244897959183
Chen2023,NBM3,HSC_MPP,B_Plasma,0.571428571428571
Chen2023,NBM3,LMPP_GMP,HSC_MPP,0.163265306122449
Chen2023,NBM3,LMPP_GMP,LMPP_GMP,0.102040816326531
Chen2023,NBM3,LMPP_GMP,Mono_DC,0.530612244897959
Chen2023,NBM3,LMPP_GMP,Erythroid,0.346938775510204
Chen2023,NBM3,LMPP_GMP,Megakaryocyte,0.918367346938776
Chen2023,NBM3,LMPP_GMP,T_NK,0.0204081632653061
Chen2023,NBM3,LMPP_GMP,B_Plasma,0.36734693877551
Chen2023,NBM3,Mono_DC,HSC_MPP,0.836734693877551
Chen2023,NBM3,Mono_DC,LMPP_GMP,0.795918367346939
Chen2023,NBM3,Mono_DC,Mono_DC,0.816326530612245
Chen2023,NBM3,Mono_DC,Erythroid,0.448979591836735
Chen2023,NBM3,Mono_DC,Megakaryocyte,0.714285714285714
Chen2023,NBM3,Mono_DC,T_NK,0.183673469387755
Chen2023,NBM3,Mono_DC,B_Plasma,0.73469387755102
Chen2023,NBM3,Erythroid,HSC_MPP,0.387755102040816
Chen2023,NBM3,Erythroid,LMPP_GMP,0.306122448979592
Chen2023,NBM3,Erythroid,Mono_DC,0.551020408163265
Chen2023,NBM3,Erythroid,Erythroid,0.326530612244898
Chen2023,NBM3,Erythroid,Megakaryocyte,0.918367346938776
Chen2023,NBM3,Erythroid,T_NK,0.0816326530612245
Chen2023,NBM3,Erythroid,B_Plasma,0.408163265306122
Chen2023,NBM3,Megakaryocyte,HSC_MPP,0.63265306122449
Chen2023,NBM3,Megakaryocyte,LMPP_GMP,0.489795918367347
Chen2023,NBM3,Megakaryocyte,Mono_DC,0.693877551020408
Chen2023,NBM3,Megakaryocyte,Erythroid,0.428571428571429
Chen2023,NBM3,Megakaryocyte,Megakaryocyte,0.612244897959184
Chen2023,NBM3,Megakaryocyte,T_NK,0.0408163265306123
Chen2023,NBM3,Megakaryocyte,B_Plasma,0.591836734693878
Chen2023,NBM3,T_NK,HSC_MPP,0.26530612244898
Chen2023,NBM3,T_NK,LMPP_GMP,0.285714285714286
Chen2023,NBM3,T_NK,Mono_DC,0.755102040816326
Chen2023,NBM3,T_NK,Erythroid,0.224489795918367
Chen2023,NBM3,T_NK,Megakaryocyte,0.469387755102041
Chen2023,NBM3,T_NK,T_NK,0
Chen2023,NBM3,T_NK,B_Plasma,0.673469387755102
Chen2023,NBM3,B_Plasma,HSC_MPP,0.918367346938776
