subclone,arm,direction,n_genes_nonneutral,n_genes_arm,frac_arm,is_event,dataset,sample
observation.observation_s4,1p,gain,39,395,0.0987341772151899,FALSE,GSE227903,6323_R2
observation.observation_s4,1p,loss,33,395,0.0835443037974684,FALSE,GSE227903,6323_R2
observation.observation_s4,1q,loss,23,310,0.0741935483870968,FALSE,GSE227903,6323_R2
observation.observation_s4,2p,loss,27,195,0.138461538461538,FALSE,GSE227903,6323_R2
observation.observation_s4,2q,loss,17,256,0.06640625,FALSE,GSE227903,6323_R2
observation.observation_s4,6p,gain,63,202,0.311881188118812,FALSE,GSE227903,6323_R2
observation.observation_s4,7q,loss,63,203,0.310344827586207,FALSE,GSE227903,6323_R2
observation.observation_s4,11q,loss,64,257,0.249027237354086,FALSE,GSE227903,6323_R2
observation.observation_s4,12q,gain,45,309,0.145631067961165,FALSE,GSE227903,6323_R2
observation.observation_s4,14q,loss,132,249,0.530120481927711,TRUE,GSE227903,6323_R2
observation.observation_s4,19p,gain,106,241,0.439834024896266,FALSE,GSE227903,6323_R2
observation.observation_s4,19q,gain,16,206,0.0776699029126214,FALSE,GSE227903,6323_R2
observation.observation_s8,1p,gain,48,395,0.121518987341772,FALSE,GSE227903,6323_R2
observation.observation_s8,1p,loss,29,395,0.0734177215189873,FALSE,GSE227903,6323_R2
observation.observation_s8,1q,loss,15,310,0.0483870967741936,FALSE,GSE227903,6323_R2
observation.observation_s8,2q,loss,38,256,0.1484375,FALSE,GSE227903,6323_R2
observation.observation_s8,5q,gain,16,282,0.0567375886524823,FALSE,GSE227903,6323_R2
observation.observation_s8,6p,gain,75,202,0.371287128712871,FALSE,GSE227903,6323_R2
observation.observation_s8,7q,loss,65,203,0.320197044334975,FALSE,GSE227903,6323_R2
observation.observation_s8,9q,gain,37,193,0.191709844559585,FALSE,GSE227903,6323_R2
observation.observation_s8,11p,gain,75,130,0.576923076923077,TRUE,GSE227903,6323_R2
observation.observation_s8,11q,gain,35,257,0.136186770428016,FALSE,GSE227903,6323_R2
observation.observation_s8,11q,loss,67,257,0.260700389105058,FALSE,GSE227903,6323_R2
observation.observation_s8,12q,gain,45,309,0.145631067961165,FALSE,GSE227903,6323_R2
observation.observation_s8,14q,loss,125,249,0.502008032128514,TRUE,GSE227903,6323_R2
observation.observation_s8,16p,gain,37,161,0.229813664596273,FALSE,GSE227903,6323_R2
observation.observation_s8,17p,gain,67,107,0.626168224299065,TRUE,GSE227903,6323_R2
observation.observation_s8,17q,gain,2,313,0.00638977635782748,FALSE,GSE227903,6323_R2
observation.observation_s8,19p,gain,241,241,1,TRUE,GSE227903,6323_R2
observation.observation_s8,19q,gain,206,206,1,TRUE,GSE227903,6323_R2
observation.observation_s8,22q,gain,42,159,0.264150943396226,FALSE,GSE227903,6323_R2
observation.observation_s24,1p,gain,60,395,0.151898734177215,FALSE,GSE227903,6323_R2
observation.observation_s24,1p,loss,40,395,0.10126582278481,FALSE,GSE227903,6323_R2
observation.observation_s24,1q,loss,40,310,0.129032258064516,FALSE,GSE227903,6323_R2
observation.observation_s24,2q,loss,29,256,0.11328125,FALSE,GSE227903,6323_R2
observation.observation_s24,6p,gain,72,202,0.356435643564356,FALSE,GSE227903,6323_R2
observation.observation_s24,6p,loss,48,202,0.237623762376238,FALSE,GSE227903,6323_R2
observation.observation_s24,6q,gain,21,156,0.134615384615385,FALSE,GSE227903,6323_R2
observation.observation_s24,7q,loss,67,203,0.330049261083744,FALSE,GSE227903,6323_R2
observation.observation_s24,8q,gain,74,158,0.468354430379747,FALSE,GSE227903,6323_R2
observation.observation_s24,11q,loss,64,257,0.249027237354086,FALSE,GSE227903,6323_R2
observation.observation_s24,12p,loss,41,87,0.471264367816092,FALSE,GSE227903,6323_R2
observation.observation_s24,12q,gain,45,309,0.145631067961165,FALSE,GSE227903,6323_R2
observation.observation_s24,14q,loss,112,249,0.449799196787149,FALSE,GSE227903,6323_R2
observation.observation_s24,15q,gain,48,216,0.222222222222222,FALSE,GSE227903,6323_R2
observation.observation_s24,17q,loss,78,313,0.249201277955272,FALSE,GSE227903,6323_R2
observation.observation_s2,1p,loss,11,395,0.0278481012658228,FALSE,GSE227903,6323_R2
observation.observation_s2,1q,loss,44,310,0.141935483870968,FALSE,GSE227903,6323_R2
observation.observation_s2,1q,gain,16,310,0.0516129032258065,FALSE,GSE227903,6323_R2
observation.observation_s2,2p,loss,33,195,0.169230769230769,FALSE,GSE227903,6323_R2
observation.observation_s2,2q,loss,15,256,0.05859375,FALSE,GSE227903,6323_R2
observation.observation_s2,3p,gain,46,185,0.248648648648649,FALSE,GSE227903,6323_R2
